Euler1,Euler2,Euler3,n14,n14_noise,n16,n16_noise,n20,n20_noise,n24,n24_noise
0,0,0,0.0,3.914,0.0,7.982,0.0,6.545,0.284,3.623
0,0,7,0.0,14.189,0.0,6.546,0.0,2.591,0.27,14.267
0,0,14,0.0,16.35,0.044,0.672,0.0,13.638,0.229,6.981
0,0,21,0.0,1.026,0.0,9.955,0.0,0.855,0.0,9.528
0,0,28,0.0,6.833,0.352,11.441,0.0,12.312,0.234,5.038
0,0,35,0.0,17.878,0.0,5.705,0.0,3.317,0.0,0.302
0,0,42,0.0,10.428,0.0,4.809,0.0,15.011,0.249,12.189
0,0,49,0.0,17.66,0.0,10.013,0.0,8.124,0.0,14.927
0,0,56,0.293,8.37,0.0,11.481,0.0,14.471,0.0,8.276
0,0,63,0.0,14.742,0.0,10.047,0.064,23.065,0.0,10.998
0,0,70,0.0,9.181,0.0,1.199,0.275,12.779,0.0,8.819
0,0,77,0.0,15.407,0.0,5.146,0.329,5.37,0.0,7.02
0,0,84,0.0,0.766,0.294,3.84,0.0,11.914,0.0,4.961
0,0,91,0.273,17.08,0.387,16.411,0.283,10.161,0.261,8.413
0,0,98,0.0,11.029,0.0,14.071,0.0,7.299,0.0,6.24
0,0,105,0.0,0.152,0.269,12.137,0.276,6.048,0.259,9.137
0,0,112,0.316,13.593,0.335,11.217,0.0,14.606,0.0,1.367
0,0,119,0.262,9.713,0.0,4.31,0.232,8.287,0.0,15.777
0,0,126,0.0,6.928,0.381,2.535,0.0,10.893,0.0,0.829
0,0,133,0.0,17.65,0.0,8.726,0.278,7.346,0.267,10.176
0,0,140,0.315,0.314,0.238,8.453,0.0,8.365,0.0,4.476
0,0,147,0.363,0.08,0.0,13.932,0.274,17.966,0.391,12.3
0,0,154,0.0,9.512,0.385,14.454,0.255,19.267,0.0,8.362
0,0,161,0.171,12.968,0.0,5.086,0.0,0.238,0.246,0.417
0,0,168,0.341,15.948,0.0,8.346,0.0,0.762,0.285,8.505
0,0,175,0.0,0.619,0.0,9.022,0.0,2.142,0.268,5.223
0,7,0,0.002,9.892,0.154,4.522,0.004,7.448,0.086,14.723
0,7,7,0.411,5.339,0.201,5.058,0.548,10.017,0.075,8.366
0,7,14,0.007,10.991,0.158,7.02,0.125,7.63,0.075,7.034
0,7,21,0.136,10.949,0.001,2.748,0.197,6.44,0.905,7.152
0,7,28,0.001,7.737,0.1,8.928,0.002,7.779,0.003,9.412
0,7,35,0.005,9.133,0.281,8.863,0.001,5.624,0.103,8.116
0,7,42,0.013,2.431,0.003,6.932,0.448,4.285,0.035,5.795
0,7,49,0.002,4.06,0.072,7.0,0.001,2.056,0.001,4.906
0,7,56,0.25,7.001,0.012,4.535,0.258,7.001,0.003,8.232
0,7,63,0.096,14.766,0.001,3.284,0.071,1.728,0.084,2.144
0,7,70,0.157,8.661,0.158,10.35,0.116,8.187,0.088,12.709
0,7,77,0.004,19.266,0.251,4.625,0.002,8.214,0.001,4.609
0,7,84,0.411,15.46,0.293,6.933,0.124,7.77,0.001,1.046
