Euler1,Euler2,Euler3,n28,n28_noise,n32,n32_noise
7,77,42,0.001,3.687,0.001,13.255
7,77,49,0.002,2.171,0.002,2.879
7,77,56,0.001,4.351,0.002,4.075
7,77,63,0.001,4.808,0.0,13.165
7,77,70,0.001,13.179,0.002,5.842
7,77,77,0.001,6.795,0.001,2.681
7,77,84,0.001,3.551,0.001,0.598
7,77,91,0.001,4.299,0.001,6.53
7,77,98,0.002,5.805,0.002,1.629
7,77,105,0.002,7.374,0.001,4.62
7,77,112,0.001,2.719,0.001,6.862
7,77,119,0.001,3.543,0.001,5.894
7,77,126,0.001,4.41,0.001,5.682
7,77,133,0.001,2.713,0.002,7.046
7,77,140,0.002,1.445,0.001,2.847
7,77,147,0.001,3.112,0.002,1.184
7,77,154,0.001,7.094,0.002,1.623
7,77,161,0.001,3.644,0.002,6.786
7,77,168,0.001,2.491,0.001,2.931
7,77,175,0.001,1.877,0.001,7.592
7,84,0,0.001,3.033,0.001,6.275
7,84,7,0.001,2.921,0.002,3.921
7,84,14,0.005,7.891,0.005,7.564
7,84,21,0.001,8.046,0.003,8.765
7,84,28,0.001,4.081,0.001,6.407
7,84,35,0.008,6.935,0.004,1.181
7,84,42,0.001,8.575,0.002,8.001
7,84,49,0.002,5.167,0.003,2.561
7,84,56,0.005,9.074,0.0,6.933
7,84,63,0.001,2.104,0.001,3.306
7,84,70,0.003,3.51,0.001,4.789
7,84,77,0.001,6.042,0.003,1.694
7,84,84,0.006,9.521,0.002,0.989
7,84,91,0.001,5.141,0.001,0.504
7,84,98,0.002,6.067,0.002,4.375
7,84,105,0.009,5.173,0.003,6.109
7,84,112,0.008,7.805,0.002,2.572
7,84,119,0.0,6.119,0.001,4.173
7,84,126,0.002,2.975,0.002,6.736
7,84,133,0.003,6.493,0.004,4.178
7,84,140,0.001,5.922,0.003,3.24
7,84,147,0.003,1.91,0.006,4.487
7,84,154,0.002,8.331,0.004,2.475
7,84,161,0.009,6.921,0.004,7.42
7,84,168,0.001,6.385,0.002,6.51
7,84,175,0.004,6.05,0.001,5.136
14,0,0,0.0,8.002,0.0,0.723
14,0,7,0.0,14.43,0.25,3.514
14,0,14,0.0,10.946,0.241,9.987
14,0,21,0.272,0.403,0.0,4.841
14,0,28,0.252,7.615,0.0,9.004
14,0,35,0.256,18.937,0.274,8.069
14,0,42,0.0,2.893,0.257,14.035
14,0,49,0.0,7.284,0.275,4.279
14,0,56,0.0,3.18,0.0,8.206
14,0,63,0.0,9.988,0.228,17.597
14,0,70,0.24,0.024,0.215,0.915
14,0,77,0.256,0.89,0.28,7.967
14,0,84,0.239,7.408,0.28,4.803
14,0,91,0.0,6.323,0.0,6.78
14,0,98,0.245,5.649,0.267,9.405
14,0,105,0.289,0.882,0.0,12.71
14,0,112,0.0,15.981,0.0,5.189
14,0,119,0.281,4.448,0.0,15.319
14,0,126,0.0,1.617,0.243,13.171
14,0,133,0.241,11.188,0.0,4.813
14,0,140,0.263,8.737,0.258,10.468
14,0,147,0.0,6.738,0.244,11.159
14,0,154,0.233,13.696,0.0,10.137
14,0,161,0.273,0.475,0.263,4.806
14,0,168,0.0,10.627,0.282,4.305
14,0,175,0.281,8.733,0.241,6.046
14,7,0,0.003,7.477,0.001,11.692
14,7,7,0.23,9.305,0.36,9.992
14,7,14,0.109,1.859,0.001,5.654
14,7,21,0.002,3.474,0.003,6.41
14,7,28,0.003,0.986,0.002,7.003
14,7,35,0.003,11.999,0.002,7.533
14,7,42,0.003,7.014,0.003,8.799
14,7,49,0.003,7.933,0.003,10.538
14,7,56,0.004,12.222,0.002,4.452
14,7,63,0.004,7.054,0.004,1.698
14,7,70,0.004,9.539,0.003,2.61
14,7,77,0.002,10.94,0.002,9.494
14,7,84,0.003,0.573,0.007,11.299
14,7,91,0.003,12.142,0.003,7.716
14,7,98,0.003,12.983,0.003,8.052
14,7,105,0.003,4.6,0.003,1.199
14,7,112,0.002,6.23,0.004,5.568
14,7,119,0.002,2.977,0.002,5.108
14,7,126,0.003,9.387,0.002,7.05
14,7,133,0.002,6.149,0.006,7.739
14,7,140,0.319,2.479,0.003,3.381
14,7,147,0.004,5.363,0.427,7.104
14,7,154,0.002,3.968,0.003,2.842
14,7,161,0.003,4.469,0.002,6.788
14,7,168,0.002,11.924,0.002,4.269
14,7,175,0.003,1.989,0.003,7.806
14,14,0,0.001,3.641,0.002,2.548
14,14,7,0.001,4.096,0.001,7.362
14,14,14,0.002,4.753,0.001,2.448
14,14,21,0.001,7.318,0.001,8.439
14,14,28,0.001,6.133,0.001,4.586
14,14,35,0.002,3.445,0.002,4.096
14,14,42,0.003,5.003,0.001,2.623
14,14,49,0.001,1.152,0.004,4.705
14,14,56,0.001,3.57,0.001,4.407
14,14,63,0.032,5.968,0.001,4.66
14,14,70,0.001,5.824,0.001,5.021
14,14,77,0.002,7.019,0.002,11.759
14,14,84,0.001,9.095,0.001,7.392
14,14,91,0.001,3.759,0.001,13.547
14,14,98,0.001,12.181,0.001,5.749
14,14,105,0.001,3.044,0.001,7.306
14,14,112,0.001,3.138,0.001,8.393
14,14,119,0.001,3.749,0.001,3.485
14,14,126,0.002,1.599,0.007,6.441
14,14,133,0.013,2.121,0.001,9.297
14,14,140,0.001,4.562,0.001,3.51
14,14,147,0.001,3.761,0.001,2.774
14,14,154,0.004,5.079,0.002,7.994
14,14,161,0.001,4.701,0.001,1.716
14,14,168,0.002,1.77,0.001,3.235
14,14,175,0.002,4.95,0.001,5.554
14,21,0,0.003,2.553,0.001,5.801
14,21,7,0.001,5.137,0.007,4.115
14,21,14,0.001,6.281,0.001,5.714
14,21,21,0.009,7.617,0.012,4.628
14,21,28,0.006,5.598,0.003,0.833
14,21,35,0.001,3.59,0.001,5.753
14,21,42,0.01,7.211,0.006,5.877
14,21,49,0.004,1.277,0.001,4.343
14,21,56,0.003,3.285,0.001,5.052
14,21,63,0.001,2.9,0.019,2.878
14,21,70,0.001,7.052,0.003,2.447
14,21,77,0.023,4.026,0.002,3.318
14,21,84,0.001,6.506,0.001,8.046
14,21,91,0.001,4.171,0.001,5.067
14,21,98,0.01,3.681,0.001,3.172
14,21,105,0.004,4.349,0.001,5.147
14,21,112,0.001,6.117,0.001,3.26
14,21,119,0.02,1.717,0.007,5.1
14,21,126,0.004,5.09,0.004,3.986
14,21,133,0.009,5.495,0.001,3.869
14,21,140,0.005,5.549,0.001,5.406
14,21,147,0.001,5.796,0.001,0.313
14,21,154,0.001,9.609,0.001,5.437
14,21,161,0.001,7.723,0.001,5.809
14,21,168,0.02,1.902,0.01,2.45
14,21,175,0.0,3.56,0.001,7.175
14,28,0,0.003,3.066,0.0,5.402
14,28,7,0.0,2.143,0.001,4.381
14,28,14,0.008,6.609,0.008,0.881
14,28,21,0.004,4.596,0.004,2.987
14,28,28,0.001,6.871,0.001,5.228
14,28,35,0.008,3.045,0.01,4.758
14,28,42,0.001,5.0,0.001,2.589
14,28,49,0.01,2.393,0.013,2.824
14,28,56,0.017,6.862,0.011,3.897
14,28,63,0.001,4.808,0.004,7.216
14,28,70,0.021,4.518,0.016,1.781
14,28,77,0.001,5.462,0.001,6.699
14,28,84,0.011,6.998,0.02,7.012
14,28,91,0.013,3.451,0.001,1.835
14,28,98,0.001,4.294,0.009,1.028
14,28,105,0.003,7.437,0.011,4.642
14,28,112,0.005,4.303,0.001,6.833
14,28,119,0.002,7.746,0.012,2.914
14,28,126,0.019,4.259,0.001,4.406
14,28,133,0.001,0.808,0.003,8.372
14,28,140,0.011,4.823,0.016,1.479
14,28,147,0.01,1.034,0.001,1.576
14,28,154,0.001,2.255,0.015,1.336
14,28,161,0.017,1.179,0.001,5.235
14,28,168,0.001,4.965,0.008,6.633
14,28,175,0.008,8.173,0.022,3.241
14,35,0,0.005,8.548,0.0,1.113
14,35,7,0.001,7.076,0.003,2.907
14,35,14,0.008,1.057,0.017,0.958
14,35,21,0.001,2.2,0.003,2.24
14,35,28,0.004,4.592,0.006,8.311
14,35,35,0.01,2.537,0.005,3.166
14,35,42,0.011,4.18,0.01,2.078
14,35,49,0.003,3.644,0.008,2.298
14,35,56,0.004,1.361,0.015,6.989
14,35,63,0.009,4.397,0.004,3.086
14,35,70,0.008,0.878,0.003,2.215
14,35,77,0.007,8.28,0.012,2.309
14,35,84,0.002,2.422,0.009,4.523
14,35,91,0.003,1.849,0.012,2.328
14,35,98,0.001,1.503,0.005,5.05
14,35,105,0.001,3.211,0.004,2.071
14,35,112,0.001,3.227,0.014,3.484
14,35,119,0.009,1.201,0.007,4.084
14,35,126,0.006,3.909,0.008,2.435
14,35,133,0.014,1.868,0.008,8.251
14,35,140,0.008,3.644,0.002,8.814
14,35,147,0.004,3.603,0.001,2.018
14,35,154,0.005,5.486,0.004,0.682
14,35,161,0.009,7.038,0.012,3.281
14,35,168,0.007,3.17,0.003,5.056
14,35,175,0.004,7.949,0.013,1.853
14,42,0,0.009,3.311,0.012,2.381
14,42,7,0.006,4.454,0.002,1.105
14,42,14,0.003,3.302,0.008,2.584
14,42,21,0.003,6.332,0.009,5.69
14,42,28,0.001,9.483,0.007,6.142
14,42,35,0.01,1.103,0.003,4.871
14,42,42,0.001,1.285,0.007,0.92
14,42,49,0.005,5.559,0.002,3.791
14,42,56,0.011,3.137,0.011,3.261
14,42,63,0.003,3.443,0.008,1.324
14,42,70,0.011,4.256,0.003,2.774
14,42,77,0.007,2.274,0.008,1.914
14,42,84,0.006,2.419,0.009,2.244
14,42,91,0.007,2.999,0.003,0.871
14,42,98,0.006,2.387,0.011,1.835
14,42,105,0.003,6.669,0.002,2.301
14,42,112,0.005,1.587,0.007,2.211
14,42,119,0.004,3.854,0.007,0.484
14,42,126,0.011,2.538,0.007,3.104
14,42,133,0.0,1.353,0.011,5.943
14,42,140,0.004,4.383,0.013,3.544
14,42,147,0.008,1.459,0.0,5.141
14,42,154,0.003,1.196,0.007,1.581
14,42,161,0.011,2.619,0.002,3.621
14,42,168,0.005,3.618,0.002,2.622
14,42,175,0.006,3.306,0.013,8.037
14,49,0,0.003,0.816,0.005,1.053
14,49,7,0.002,1.055,0.007,0.416
14,49,14,0.007,5.769,0.005,3.679
14,49,21,0.003,3.329,0.007,4.727
14,49,28,0.006,5.286,0.003,2.582
14,49,35,0.008,4.699,0.004,2.307
14,49,42,0.003,2.68,0.005,2.626
14,49,49,0.007,1.81,0.006,1.465
14,49,56,0.001,2.586,0.008,2.761
14,49,63,0.007,0.745,0.005,5.296
14,49,70,0.001,1.53,0.006,3.112
14,49,77,0.008,2.324,0.003,1.739
14,49,84,0.004,2.289,0.002,0.501
14,49,91,0.006,2.338,0.002,1.212
14,49,98,0.006,2.445,0.002,0.899
14,49,105,0.008,4.023,0.005,2.232
14,49,112,0.002,7.541,0.007,2.675
14,49,119,0.005,1.472,0.002,1.897
14,49,126,0.006,2.198,0.005,1.453
14,49,133,0.003,0.792,0.007,6.049
14,49,140,0.008,4.928,0.003,2.454
14,49,147,0.001,2.764,0.007,1.061
14,49,154,0.008,0.831,0.004,2.398
14,49,161,0.002,1.806,0.005,5.534
14,49,168,0.008,3.607,0.008,2.613
14,49,175,0.005,9.251,0.004,0.726
14,56,0,0.006,3.91,0.003,2.123
14,56,7,0.003,0.681,0.005,3.464
14,56,14,0.005,2.238,0.007,1.871
14,56,21,0.005,1.651,0.003,1.717
14,56,28,0.002,2.928,0.003,1.754
14,56,35,0.005,1.815,0.001,3.333
14,56,42,0.005,2.073,0.001,2.028
14,56,49,0.004,2.729,0.003,1.985
14,56,56,0.007,2.424,0.003,2.727
14,56,63,0.002,3.157,0.003,1.483
14,56,70,0.006,4.649,0.006,1.31
14,56,77,0.004,4.683,0.006,3.196
14,56,84,0.001,4.926,0.005,3.239
14,56,91,0.006,4.343,0.005,2.188
14,56,98,0.002,2.142,0.006,2.526
14,56,105,0.006,2.69,0.002,1.232
14,56,112,0.004,1.515,0.002,0.422
14,56,119,0.003,2.294,0.005,1.381
14,56,126,0.005,1.547,0.004,2.477
14,56,133,0.005,3.616,0.002,1.49
14,56,140,0.004,3.315,0.004,1.653
14,56,147,0.006,3.353,0.002,2.183
14,56,154,0.002,2.721,0.001,2.913
14,56,161,0.006,4.478,0.003,3.099
14,56,168,0.004,3.753,0.002,2.661
14,56,175,0.001,2.433,0.003,2.22
14,63,0,0.003,0.541,0.004,0.618
14,63,7,0.004,5.599,0.004,1.772
14,63,14,0.004,2.341,0.001,6.644
14,63,21,0.003,5.711,0.001,4.065
14,63,28,0.004,2.517,0.002,3.439
14,63,35,0.003,1.845,0.002,2.618
14,63,42,0.004,1.954,0.002,1.721
14,63,49,0.005,6.94,0.002,2.247
14,63,56,0.003,2.998,0.004,4.078
14,63,63,0.002,0.613,0.003,1.515
14,63,70,0.004,3.198,0.004,2.187
14,63,77,0.002,0.852,0.003,3.305
14,63,84,0.003,3.965,0.003,4.029
14,63,91,0.003,1.869,0.004,2.422
14,63,98,0.003,4.301,0.003,2.878
14,63,105,0.004,2.652,0.003,2.153
14,63,112,0.002,1.583,0.002,1.599
14,63,119,0.005,2.041,0.002,1.536
14,63,126,0.002,3.019,0.003,5.079
14,63,133,0.002,2.658,0.001,3.769
14,63,140,0.005,2.473,0.002,3.025
14,63,147,0.003,0.693,0.004,3.279
14,63,154,0.002,3.593,0.004,3.289
14,63,161,0.004,5.037,0.004,4.521
14,63,168,0.002,1.563,0.004,4.387
14,63,175,0.005,3.004,0.003,0.924
14,70,0,0.002,2.612,0.002,1.826
14,70,7,0.004,1.694,0.002,1.127
14,70,14,0.002,1.385,0.004,2.01
14,70,21,0.002,1.894,0.002,3.718
14,70,28,0.003,1.936,0.003,2.912
14,70,35,0.001,1.433,0.002,2.824
14,70,42,0.003,1.324,0.002,6.53
14,70,49,0.003,1.997,0.001,3.218
14,70,56,0.002,1.045,0.004,4.971
14,70,63,0.002,3.529,0.002,5.139
14,70,70,0.003,3.917,0.004,2.232
14,70,77,0.002,2.181,0.003,5.107
14,70,84,0.003,2.961,0.001,3.42
14,70,91,0.002,1.486,0.002,3.057
14,70,98,0.003,0.346,0.003,1.201
14,70,105,0.002,5.668,0.001,1.166
14,70,112,0.003,3.122,0.003,2.386
14,70,119,0.002,2.754,0.005,3.77
14,70,126,0.002,5.04,0.002,3.858
14,70,133,0.004,1.812,0.002,2.299
14,70,140,0.002,2.834,0.002,2.369
14,70,147,0.002,2.58,0.003,4.909
14,70,154,0.002,2.608,0.002,1.752
14,70,161,0.003,7.46,0.003,1.997
14,70,168,0.002,3.937,0.003,3.808
14,70,175,0.004,1.104,0.002,2.035
14,77,0,0.002,4.661,0.004,2.114
14,77,7,0.004,1.965,0.001,5.674
14,77,14,0.002,1.99,0.003,3.925
14,77,21,0.001,1.679,0.002,2.485
14,77,28,0.001,4.148,0.002,3.428
14,77,35,0.003,5.981,0.002,3.856
14,77,42,0.002,2.067,0.002,3.733
14,77,49,0.002,10.066,0.002,3.087
14,77,56,0.002,3.527,0.003,1.658
14,77,63,0.001,2.131,0.002,2.901
14,77,70,0.001,6.536,0.004,3.188
14,77,77,0.002,2.377,0.001,1.792
14,77,84,0.002,2.105,0.003,2.505
14,77,91,0.002,1.104,0.001,4.445
14,77,98,0.002,3.464,0.002,5.677
14,77,105,0.002,2.667,0.003,1.671
14,77,112,0.003,5.125,0.002,5.478
14,77,119,0.001,5.313,0.002,1.606
14,77,126,0.002,1.985,0.002,6.055
14,77,133,0.003,3.009,0.002,6.839
14,77,140,0.002,9.119,0.001,1.025
14,77,147,0.002,2.343,0.002,5.829
14,77,154,0.001,6.207,0.001,5.204
14,77,161,0.001,0.95,0.003,1.415
14,77,168,0.002,3.098,0.002,3.831
14,77,175,0.003,5.796,0.005,2.741
14,84,0,0.004,7.02,0.002,4.107
14,84,7,0.005,5.915,0.004,6.743
14,84,14,0.005,1.76,0.003,6.3
14,84,21,0.004,2.105,0.004,2.754
14,84,28,0.002,7.528,0.003,2.741
14,84,35,0.003,7.049,0.001,9.175
14,84,42,0.004,3.457,0.002,1.433
14,84,49,0.001,10.724,0.004,3.491
14,84,56,0.001,5.985,0.004,2.297
14,84,63,0.001,3.365,0.001,3.102
14,84,70,0.003,1.908,0.002,7.435
14,84,77,0.003,7.09,0.003,6.671
14,84,84,0.004,6.186,0.003,3.361
14,84,91,0.005,1.194,0.004,4.558
14,84,98,0.003,3.862,0.001,12.075
14,84,105,0.004,2.005,0.003,4.76
14,84,112,0.003,7.679,0.003,7.206
14,84,119,0.002,5.386,0.003,4.52
14,84,126,0.004,2.126,0.001,6.814
14,84,133,0.001,8.312,0.003,2.799
14,84,140,0.002,6.968,0.003,2.986
14,84,147,0.001,5.198,0.004,1.516
14,84,154,0.001,1.157,0.001,0.994
14,84,161,0.002,6.511,0.002,4.068
14,84,168,0.003,1.069,0.003,7.271
14,84,175,0.004,6.358,0.003,7.238
21,0,0,0.0,12.125,0.0,5.552
21,0,7,0.0,3.0,0.283,8.105
21,0,14,0.25,5.342,0.233,6.219
21,0,21,0.0,13.801,0.28,16.505
21,0,28,0.0,0.732,0.279,9.107
21,0,35,0.283,7.807,0.245,9.033
21,0,42,0.25,16.17,0.29,10.575
21,0,49,0.266,12.708,0.267,12.396
21,0,56,0.287,1.068,0.0,5.936
21,0,63,0.0,8.558,0.0,8.731
21,0,70,0.0,5.245,0.096,10.162
21,0,77,0.255,7.898,0.098,13.71
21,0,84,0.284,0.438,0.0,5.592
21,0,91,0.285,11.354,0.282,4.105
21,0,98,0.253,0.447,0.236,12.174
21,0,105,0.0,8.843,0.251,3.678
21,0,112,0.0,3.382,0.266,10.672
21,0,119,0.287,0.059,0.0,15.256
21,0,126,0.209,11.618,0.277,2.33
21,0,133,0.248,8.481,0.266,14.171
21,0,140,0.321,9.449,0.277,6.346
21,0,147,0.273,7.126,0.254,15.151
21,0,154,0.298,18.062,0.293,9.655
21,0,161,0.251,7.169,0.263,7.278
21,0,168,0.274,14.085,0.26,8.283
21,0,175,0.275,4.86,0.0,0.689
21,7,0,0.002,6.778,0.002,7.078
21,7,7,0.084,7.011,0.296,3.325
21,7,14,0.002,6.787,0.002,7.008
21,7,21,0.002,7.887,0.001,9.859
21,7,28,0.002,6.959,0.002,7.0
21,7,35,0.002,8.433,0.002,7.953
21,7,42,0.434,2.171,0.005,8.784
21,7,49,0.002,11.111,0.003,6.652
21,7,56,0.003,8.093,0.002,8.958
21,7,63,0.003,1.712,0.003,3.092
21,7,70,0.003,8.647,0.003,9.418
21,7,77,0.002,7.967,0.002,4.869
21,7,84,0.002,3.976,0.002,3.789
21,7,91,0.009,6.85,0.003,2.203
21,7,98,0.003,8.124,0.003,4.899
21,7,105,0.002,2.386,0.002,6.296
21,7,112,0.002,1.291,0.003,3.586
21,7,119,0.003,10.897,0.003,6.599
21,7,126,0.002,7.046,0.003,9.426
21,7,133,0.002,9.157,0.002,7.502
21,7,140,0.002,7.001,0.002,9.259
21,7,147,0.002,2.708,0.002,7.384
21,7,154,0.003,8.335,0.002,6.525
21,7,161,0.006,10.285,0.002,5.807
21,7,168,0.003,3.343,0.002,0.939
21,7,175,0.001,7.849,0.002,9.678
21,14,0,0.001,5.658,0.001,6.371
21,14,7,0.001,3.131,0.001,5.388
21,14,14,0.001,3.617,0.001,4.967
21,14,21,0.001,6.933,0.001,9.73
21,14,28,0.001,10.659,0.001,7.19
21,14,35,0.004,4.01,0.001,2.497
21,14,42,0.001,5.793,0.001,0.572
21,14,49,0.001,10.882,0.001,3.57
21,14,56,0.001,4.439,0.001,4.585
21,14,63,0.001,1.648,0.001,2.264
21,14,70,0.001,3.638,0.001,5.047
21,14,77,0.001,3.892,0.001,6.578
21,14,84,0.001,5.462,0.001,6.194
21,14,91,0.001,1.063,0.001,6.411
21,14,98,0.001,6.773,0.001,6.099
21,14,105,0.001,6.271,0.001,1.437
21,14,112,0.001,2.95,0.001,8.693
21,14,119,0.001,4.171,0.001,4.042
21,14,126,0.001,3.227,0.001,4.81
21,14,133,0.001,3.482,0.001,0.909
21,14,140,0.001,1.865,0.001,3.983
21,14,147,0.001,6.347,0.001,3.029
21,14,154,0.001,4.269,0.001,6.045
21,14,161,0.001,5.727,0.001,5.642
21,14,168,0.001,8.032,0.001,1.344
21,14,175,0.001,5.689,0.001,3.652
21,21,0,0.001,3.999,0.001,1.331
21,21,7,0.001,4.631,0.001,6.206
21,21,14,0.002,6.573,0.001,1.707
21,21,21,0.001,7.409,0.001,7.437
21,21,28,0.001,5.339,0.001,7.192
21,21,35,0.001,8.212,0.001,1.266
21,21,42,0.005,1.2,0.003,2.34
21,21,49,0.004,7.233,0.004,1.019
21,21,56,0.001,4.863,0.001,1.503
21,21,63,0.001,3.466,0.001,7.764
21,21,70,0.001,6.257,0.002,5.936
21,21,77,0.014,2.837,0.003,4.021
21,21,84,0.001,5.183,0.005,6.414
21,21,91,0.001,4.052,0.002,3.577
21,21,98,0.002,7.63,0.001,3.945
21,21,105,0.004,4.117,0.001,2.417
21,21,112,0.001,7.655,0.001,2.436
21,21,119,0.001,3.847,0.001,5.074
21,21,126,0.001,5.031,0.002,1.082
21,21,133,0.002,8.944,0.001,1.894
21,21,140,0.009,2.636,0.002,1.188
21,21,147,0.003,5.937,0.001,2.031
21,21,154,0.001,4.462,0.001,1.397
21,21,161,0.001,6.629,0.009,4.819
21,21,168,0.014,1.765,0.004,12.311
21,21,175,0.001,6.112,0.001,2.865
21,28,0,0.001,6.705,0.001,5.551
21,28,7,0.002,4.6,0.002,1.629
21,28,14,0.003,3.801,0.002,3.89
21,28,21,0.0,3.634,0.001,2.445
21,28,28,0.015,1.524,0.012,1.868
21,28,35,0.004,3.665,0.0,4.095
21,28,42,0.001,3.168,0.009,2.308
21,28,49,0.007,4.174,0.012,2.792
21,28,56,0.001,4.482,0.001,1.145
21,28,63,0.01,2.221,0.004,1.519
21,28,70,0.01,3.281,0.001,1.308
21,28,77,0.001,0.712,0.013,4.055
21,28,84,0.012,4.602,0.01,4.1
21,28,91,0.001,4.05,0.001,1.416
21,28,98,0.004,6.553,0.011,3.849
21,28,105,0.005,3.428,0.001,2.014
21,28,112,0.002,4.594,0.012,2.023
21,28,119,0.015,0.621,0.008,4.714
21,28,126,0.003,3.453,0.003,9.92
21,28,133,0.002,2.87,0.006,2.5
21,28,140,0.006,0.573,0.001,5.487
21,28,147,0.001,4.955,0.002,3.33
21,28,154,0.013,0.916,0.003,5.345
21,28,161,0.009,1.258,0.001,3.198
21,28,168,0.0,4.595,0.012,2.931
21,28,175,0.012,8.3,0.001,0.941
21,35,0,0.005,1.568,0.001,2.963
21,35,7,0.001,3.614,0.007,3.384
21,35,14,0.006,3.763,0.003,2.423
21,35,21,0.001,5.396,0.003,2.578
21,35,28,0.006,4.246,0.002,3.041
21,35,35,0.003,1.059,0.003,3.249
21,35,42,0.004,6.858,0.001,0.988
21,35,49,0.004,3.009,0.004,3.75
21,35,56,0.008,2.012,0.002,2.108
21,35,63,0.001,5.381,0.001,3.809
21,35,70,0.007,2.573,0.001,6.444
21,35,77,0.005,2.705,0.003,2.758
21,35,84,0.006,2.263,0.007,0.931
21,35,91,0.003,3.072,0.001,1.486
21,35,98,0.001,1.652,0.004,2.996
21,35,105,0.005,1.79,0.004,2.326
21,35,112,0.001,5.33,0.001,3.457
21,35,119,0.004,6.083,0.007,3.309
21,35,126,0.002,2.491,0.005,4.928
21,35,133,0.004,3.174,0.007,2.454
21,35,140,0.004,3.469,0.008,4.286
21,35,147,0.006,2.111,0.003,3.349
21,35,154,0.001,3.043,0.004,4.707
21,35,161,0.007,5.414,0.007,1.081
21,35,168,0.008,3.403,0.004,2.005
21,35,175,0.006,2.456,0.004,5.047
21,42,0,0.003,1.035,0.001,2.105
21,42,7,0.002,2.598,0.007,2.909
21,42,14,0.002,1.053,0.003,2.189
21,42,21,0.003,1.426,0.005,3.299
21,42,28,0.005,3.703,0.008,1.353
21,42,35,0.006,3.276,0.002,0.553
21,42,42,0.003,3.178,0.006,1.264
21,42,49,0.008,5.838,0.009,4.194
21,42,56,0.001,2.478,0.001,3.701
21,42,63,0.006,3.471,0.004,1.877
21,42,70,0.005,3.181,0.003,2.285
21,42,77,0.002,2.141,0.002,0.637
21,42,84,0.001,1.885,0.007,3.0
21,42,91,0.005,3.059,0.001,2.667
21,42,98,0.001,3.413,0.004,3.783
21,42,105,0.007,1.66,0.006,2.211
21,42,112,0.002,2.294,0.001,2.106
21,42,119,0.005,3.741,0.008,2.068
21,42,126,0.005,2.251,0.002,1.11
21,42,133,0.002,4.257,0.002,2.291
21,42,140,0.007,1.539,0.006,2.104
21,42,147,0.002,1.809,0.004,1.2
21,42,154,0.006,0.882,0.004,1.598
21,42,161,0.003,4.08,0.006,3.032
21,42,168,0.002,3.037,0.001,1.965
21,42,175,0.005,3.542,0.006,0.588
21,49,0,0.004,4.305,0.004,1.078
21,49,7,0.006,2.289,0.004,1.487
21,49,14,0.001,2.655,0.003,2.79
21,49,21,0.008,2.069,0.004,1.039
21,49,28,0.004,9.05,0.002,0.871
21,49,35,0.004,2.473,0.004,2.508
21,49,42,0.004,5.08,0.004,3.012
21,49,49,0.006,2.92,0.002,0.51
21,49,56,0.002,4.589,0.002,2.481
21,49,63,0.006,5.855,0.005,1.326
21,49,70,0.004,1.063,0.002,3.823
21,49,77,0.005,1.958,0.006,1.197
21,49,84,0.005,3.799,0.002,2.351
21,49,91,0.003,1.815,0.004,4.124
21,49,98,0.007,1.885,0.005,1.724
21,49,105,0.001,2.345,0.005,2.118
21,49,112,0.006,0.714,0.004,2.565
21,49,119,0.004,6.456,0.005,2.716
21,49,126,0.007,0.916,0.005,1.366
21,49,133,0.002,1.916,0.004,2.288
21,49,140,0.007,1.588,0.005,2.302
21,49,147,0.004,1.281,0.002,2.378
21,49,154,0.005,2.168,0.003,1.63
21,49,161,0.004,3.932,0.004,0.824
21,49,168,0.006,2.308,0.005,1.038
21,49,175,0.003,1.026,0.004,1.24
21,56,0,0.003,1.183,0.003,1.879
21,56,7,0.005,1.334,0.004,3.636
21,56,14,0.003,4.105,0.004,1.248
21,56,21,0.004,2.616,0.006,1.85
21,56,28,0.003,2.303,0.003,2.807
21,56,35,0.002,2.523,0.005,2.392
21,56,42,0.004,3.121,0.005,2.626
21,56,49,0.004,5.339,0.004,2.027
21,56,56,0.002,2.833,0.004,1.09
21,56,63,0.005,2.498,0.005,0.679
21,56,70,0.003,1.836,0.003,2.716
21,56,77,0.005,2.215,0.001,2.671
21,56,84,0.005,1.431,0.003,4.232
21,56,91,0.002,0.75,0.003,1.81
21,56,98,0.005,1.091,0.004,0.985
21,56,105,0.003,1.714,0.003,0.958
21,56,112,0.003,1.86,0.002,1.765
21,56,119,0.003,2.127,0.002,1.675
21,56,126,0.003,0.6,0.002,1.882
21,56,133,0.004,1.175,0.003,4.614
21,56,140,0.005,1.823,0.004,2.076
21,56,147,0.003,1.388,0.004,1.835
21,56,154,0.005,1.668,0.005,1.306
21,56,161,0.003,0.841,0.004,1.159
21,56,168,0.005,2.497,0.003,1.228
21,56,175,0.004,3.03,0.004,3.273
21,63,0,0.003,2.433,0.002,1.295
21,63,7,0.003,2.703,0.002,4.144
21,63,14,0.002,2.024,0.003,1.908
21,63,21,0.003,3.835,0.003,5.236
21,63,28,0.003,1.462,0.004,2.11
21,63,35,0.004,3.268,0.004,2.111
21,63,42,0.002,3.671,0.003,0.613
21,63,49,0.004,1.94,0.003,1.263
21,63,56,0.003,3.118,0.003,1.333
21,63,63,0.003,1.471,0.003,1.344
21,63,70,0.003,1.405,0.003,3.782
21,63,77,0.004,2.066,0.002,1.491
21,63,84,0.002,2.546,0.002,3.371
21,63,91,0.003,1.54,0.001,2.927
21,63,98,0.003,3.414,0.003,3.816
21,63,105,0.002,1.856,0.003,4.549
