Euler1,Euler2,Euler3,default20,diffEvol,Anne
0,35,168,0.066,0.0,0.547
0,35,175,0.026,0.006,0.108
0,42,0,0.0,0.116,0.247
0,42,7,0.13,5.391,0.132
0,42,14,0.083,0.017,0.091
0,42,21,0.158,0.013,0.28
0,42,28,0.033,0.022,0.348
0,42,35,0.0,0.001,0.586
0,42,42,0.002,0.002,0.364
0,42,49,0.001,0.003,0.479
0,42,56,0.036,0.009,0.065
0,42,63,0.052,0.004,0.001
0,42,70,0.0,0.044,1.524
0,42,77,0.003,0.006,0.06
0,42,84,0.001,0.014,0.209
0,42,91,0.005,0.006,0.093
0,42,98,0.003,0.015,0.053
0,42,105,0.009,0.003,0.063
0,42,112,0.032,0.016,0.036
0,42,119,0.006,0.003,0.081
0,42,126,0.0,0.011,0.079
0,42,133,0.067,0.039,0.091
0,42,140,0.018,0.001,0.145
0,42,147,0.015,0.005,0.022
0,42,154,0.041,0.0,0.092
0,42,161,0.025,0.012,0.149
0,42,168,0.003,0.006,0.031
0,42,175,0.006,0.001,0.847
0,49,0,0.0,0.012,0.121
0,49,7,0.033,6.312,0.113
0,49,14,0.004,0.003,1.249
0,49,21,0.001,0.005,0.095
0,49,28,0.018,0.008,0.045
0,49,35,0.047,0.002,0.077
0,49,42,0.035,0.03,0.138
0,49,49,0.15,0.013,1.547
0,49,56,0.049,0.005,0.124
0,49,63,0.001,0.008,0.102
0,49,70,0.124,0.012,0.261
0,49,77,0.003,0.003,0.198
0,49,84,0.003,0.002,0.031
0,49,91,0.001,0.01,0.238
0,49,98,0.018,0.002,0.002
0,49,105,0.001,0.006,0.291
0,49,112,0.048,0.016,1.401
0,49,119,0.001,0.004,0.039
0,49,126,0.02,0.002,0.195
0,49,133,0.003,0.028,0.377
0,49,140,0.113,0.007,0.167
0,49,147,0.001,0.006,0.126
0,49,154,0.001,0.005,0.183
0,49,161,0.002,0.01,0.003
0,49,168,0.041,0.006,0.053
0,49,175,0.058,0.013,0.157
0,56,0,0.001,0.013,0.191
0,56,7,0.077,0.001,0.049
0,56,14,0.003,0.007,0.109
0,56,21,0.066,0.002,0.249
0,56,28,0.003,0.005,0.178
0,56,35,0.002,0.005,1.499
0,56,42,0.002,0.005,0.179
0,56,49,0.099,0.008,1.615
0,56,56,0.118,0.007,0.438
0,56,63,0.013,0.007,0.213
0,56,70,0.079,0.006,0.22
0,56,77,0.017,0.006,0.258
0,56,84,0.113,0.004,0.002
0,56,91,0.003,0.004,0.202
0,56,98,0.068,0.007,0.236
0,56,105,0.001,0.004,0.332
0,56,112,0.012,0.011,0.002
0,56,119,0.002,0.002,0.183
0,56,126,0.002,0.009,0.133
0,56,133,0.001,0.003,0.263
0,56,140,0.061,0.003,0.262
0,56,147,0.013,0.004,0.381
0,56,154,0.001,0.007,0.268
0,56,161,0.076,0.01,0.298
0,56,168,0.002,0.003,0.639
0,56,175,0.003,0.005,0.162
0,63,0,0.001,0.003,0.001
0,63,7,0.262,0.006,0.223
0,63,14,0.03,0.013,0.729
0,63,21,0.209,0.004,0.171
0,63,28,0.002,0.007,0.303
0,63,35,0.211,0.002,0.372
0,63,42,0.002,0.008,0.267
0,63,49,0.04,0.007,0.223
0,63,56,0.008,0.004,1.06
0,63,63,0.001,0.006,0.126
0,63,70,0.001,0.006,0.258
0,63,77,0.001,0.002,0.402
0,63,84,0.001,0.002,0.012
0,63,91,0.166,0.009,0.844
0,63,98,0.14,0.003,0.207
0,63,105,0.001,0.001,0.002
0,63,112,0.001,0.002,0.225
0,63,119,0.009,0.002,0.263
0,63,126,0.002,0.031,0.018
0,63,133,0.192,0.003,0.27
0,63,140,0.197,0.005,0.193
0,63,147,0.003,0.035,0.379
0,63,154,0.027,0.006,0.795
0,63,161,0.086,0.002,0.272
0,63,168,0.001,0.031,0.708
0,63,175,0.04,0.006,0.264
0,70,0,0.001,0.124,0.001
0,70,7,0.002,0.122,0.172
0,70,14,0.23,0.096,0.185
0,70,21,0.001,0.167,0.48
0,70,28,0.001,0.182,0.179
0,70,35,0.002,0.12,0.35
0,70,42,0.001,0.134,0.4
0,70,49,0.001,0.144,0.267
0,70,56,0.008,0.095,0.241
0,70,63,0.178,0.168,0.249
0,70,70,0.001,0.152,0.263
0,70,77,0.001,0.107,0.433
0,70,84,0.001,0.138,0.002
0,70,91,0.161,0.125,0.359
0,70,98,0.001,0.132,0.274
0,70,105,0.147,0.13,0.275
0,70,112,0.0,0.174,0.333
0,70,119,0.023,0.163,0.089
0,70,126,0.087,0.111,0.279
0,70,133,0.001,0.137,0.408
0,70,140,0.001,0.104,0.335
0,70,147,0.001,0.082,0.461
0,70,154,0.066,0.156,0.428
0,70,161,0.2,0.16,0.205
0,70,168,0.001,0.088,0.241
0,70,175,0.0,0.096,0.34
0,77,0,0.0,0.161,0.308
0,77,7,0.001,0.238,0.33
0,77,14,0.002,0.232,0.326
0,77,21,0.237,0.228,0.408
0,77,28,0.305,0.267,0.428
0,77,35,0.267,0.236,0.247
0,77,42,0.316,0.217,0.385
0,77,49,0.269,0.221,0.002
0,77,56,0.144,0.242,0.232
0,77,63,0.003,0.228,0.381
0,77,70,0.276,0.26,0.32
0,77,77,0.235,0.264,0.758
0,77,84,0.312,0.23,0.507
0,77,91,0.001,0.234,0.447
0,77,98,0.232,0.186,0.342
0,77,105,0.295,0.262,0.003
0,77,112,0.271,0.266,0.301
0,77,119,0.258,0.217,0.001
0,77,126,0.3,0.27,0.37
0,77,133,0.297,0.236,0.388
0,77,140,0.251,0.24,0.144
0,77,147,0.298,0.269,0.345
0,77,154,0.267,0.22,0.463
0,77,161,0.265,0.213,0.316
0,77,168,0.267,0.268,0.33
0,77,175,0.002,0.232,0.027
0,84,0,0.34,0.222,0.109
0,84,7,0.096,0.316,0.032
0,84,14,0.207,0.32,0.526
0,84,21,0.288,0.264,0.382
0,84,28,0.405,0.322,0.271
0,84,35,0.005,0.294,0.453
0,84,42,0.417,0.338,0.348
0,84,49,0.349,0.289,0.654
