Euler1,Euler2,Euler3,n14,n14_noise,n16,n16_noise,n20,n20_noise,n24,n24_noise
0,14,140,0.001,3.822,0.117,3.594,0.042,5.706,0.077,3.882
0,14,147,0.047,6.511,0.001,2.86,0.068,0.487,0.097,2.715
0,14,154,0.001,7.252,0.05,8.716,0.069,5.507,0.08,6.026
0,14,161,0.197,3.197,0.095,8.26,0.012,0.246,0.044,7.156
0,14,168,0.001,6.506,0.1,8.598,0.102,8.312,0.089,3.942
0,14,175,0.001,5.436,0.001,9.243,0.057,6.547,0.05,4.285
0,21,0,0.005,9.529,0.091,3.76,0.001,4.492,0.001,6.167
0,21,7,0.001,0.941,0.092,1.145,2.5,2.025,0.163,1.721
0,21,14,0.0,2.209,0.053,1.693,0.027,5.214,0.004,1.319
0,21,21,0.244,2.397,0.068,1.431,0.027,0.498,0.026,8.115
0,21,28,0.145,0.474,0.05,1.149,0.051,3.682,0.083,0.54
0,21,35,0.081,3.11,0.033,5.446,0.101,0.475,0.024,6.797
0,21,42,0.026,1.207,0.151,0.554,0.007,11.354,0.05,3.125
0,21,49,0.061,6.441,0.002,0.444,0.076,8.555,0.078,0.185
0,21,56,0.001,3.588,0.0,0.752,0.1,0.811,0.087,5.14
0,21,63,0.092,7.097,0.072,0.364,0.0,5.962,0.006,1.888
0,21,70,0.116,0.747,0.002,2.962,0.086,2.787,0.069,6.853
0,21,77,0.069,2.126,0.071,9.415,0.09,1.162,0.085,4.012
0,21,84,0.002,0.444,0.034,1.012,0.022,1.201,0.029,7.709
0,21,91,0.123,2.979,0.0,0.744,0.115,6.769,0.04,1.472
0,21,98,0.092,0.51,0.021,3.353,0.1,1.892,0.076,4.765
0,21,105,0.115,2.662,0.097,6.359,0.004,5.928,0.004,7.286
0,21,112,0.039,6.427,0.077,9.697,0.071,6.561,0.068,3.287
0,21,119,0.099,6.861,0.056,1.65,0.088,0.811,0.073,1.637
0,21,126,0.116,0.101,0.083,1.058,0.031,2.393,0.001,5.76
0,21,133,0.093,4.885,0.075,2.713,0.088,3.017,0.072,3.292
0,21,140,0.0,2.277,0.092,0.846,0.082,5.443,0.05,0.786
0,21,147,0.096,2.161,0.0,0.751,0.027,0.842,0.001,4.716
0,21,154,0.001,1.331,0.078,5.379,0.052,2.706,0.087,3.69
0,21,161,0.001,3.334,0.098,6.741,0.096,4.77,0.092,0.648
0,21,168,0.001,7.818,0.0,7.369,0.003,0.686,0.035,4.943
0,21,175,0.239,0.639,0.082,2.861,0.037,1.424,0.001,3.126
0,28,0,0.001,8.083,0.001,1.421,0.067,2.223,0.001,6.21
0,28,7,0.107,0.493,0.029,2.969,0.029,4.952,0.027,0.556
0,28,14,0.003,6.531,0.1,0.895,0.001,10.113,0.061,1.399
0,28,21,0.001,5.343,0.001,6.97,0.028,2.479,0.035,3.045
0,28,28,0.116,8.506,0.0,5.736,0.024,7.356,0.004,6.699
0,28,35,0.064,4.485,0.035,0.43,0.055,4.827,0.026,4.892
0,28,42,0.001,4.42,0.048,1.67,0.053,6.672,0.069,0.447
0,28,49,0.095,5.98,0.042,1.144,0.021,1.264,0.001,6.611
0,28,56,0.136,7.5,0.017,7.911,0.081,3.131,0.062,0.831
0,28,63,0.084,1.077,0.004,7.997,0.068,4.273,0.023,0.75
0,28,70,0.001,8.18,0.066,3.483,0.038,2.714,0.03,0.785
0,28,77,0.036,2.066,0.039,3.325,0.005,1.21,0.04,0.391
0,28,84,0.061,9.202,0.082,0.448,0.001,3.432,0.034,1.697
