Euler1,Euler2,Euler3,n14,n14_noise,n16,n16_noise,n20,n20_noise,n24,n24_noise
0,21,28,0.132,5.765,0.059,5.504,0.002,9.276,0.074,8.121
0,21,35,0.079,0.451,0.001,1.975,0.006,4.584,0.055,1.444
0,21,42,0.078,7.58,0.1,4.945,0.023,13.081,0.015,2.02
0,21,49,0.072,3.303,0.117,12.47,0.085,0.276,0.086,0.794
0,21,56,0.001,14.603,0.086,2.971,0.088,1.22,0.077,4.625
0,21,63,0.141,4.912,0.029,1.437,0.027,4.619,0.011,10.097
0,21,70,0.055,6.578,0.0,1.951,0.089,0.762,0.059,5.335
0,21,77,0.032,8.953,0.001,12.476,0.081,10.363,0.087,3.427
0,21,84,0.105,3.774,0.065,1.343,0.007,4.662,0.015,2.178
0,21,91,0.084,3.728,0.029,8.029,0.092,2.231,0.076,7.858
0,21,98,0.004,6.255,0.001,6.123,0.106,6.495,0.082,3.737
0,21,105,0.003,11.184,0.221,6.146,0.004,1.099,0.018,7.322
0,21,112,0.109,2.684,0.065,1.421,0.075,10.324,0.081,1.252
0,21,119,0.007,0.222,0.067,4.212,0.091,4.725,0.08,4.209
0,21,126,0.126,1.743,0.074,1.012,0.001,4.852,0.023,2.629
0,21,133,0.033,3.008,0.001,1.475,0.084,7.823,0.001,1.241
0,21,140,0.001,3.978,0.07,2.301,0.081,1.399,0.041,8.483
0,21,147,0.077,1.371,0.057,4.281,0.01,6.009,0.046,2.204
0,21,154,0.076,4.608,0.096,14.428,0.071,5.27,0.081,6.373
0,21,161,0.149,2.37,0.088,8.513,0.091,2.977,0.082,6.582
0,21,168,0.001,4.491,0.066,1.14,0.02,0.688,0.046,5.341
0,21,175,0.186,11.936,0.093,7.463,0.048,7.346,0.007,0.666
0,28,0,0.069,1.076,0.001,1.78,0.07,6.835,0.001,4.983
0,28,7,0.003,1.841,0.001,4.358,0.001,0.811,0.001,9.637
0,28,14,0.084,4.058,0.089,1.105,0.069,3.568,0.003,6.445
0,28,21,0.082,4.356,0.11,0.796,0.001,6.188,0.001,5.198
0,28,28,0.002,0.97,0.047,1.389,0.018,2.723,0.028,7.89
0,28,35,0.137,11.415,0.005,0.794,0.013,4.806,0.048,1.036
0,28,42,0.004,8.36,0.037,4.436,0.105,13.208,0.001,1.13
0,28,49,0.067,1.055,0.001,14.072,0.057,4.613,0.001,0.985
0,28,56,0.109,9.93,0.059,0.995,0.032,6.678,0.031,1.321
0,28,63,0.015,7.365,0.001,4.882,0.074,7.602,0.003,6.33
0,28,70,0.07,11.972,0.069,2.659,0.024,1.722,0.078,1.692
0,28,77,0.066,5.681,0.081,3.306,0.039,0.607,0.049,3.642
0,28,84,0.0,6.049,0.09,2.828,0.001,2.219,0.008,8.474
0,28,91,0.077,0.803,0.032,5.912,0.047,6.228,0.038,9.627
0,28,98,0.001,2.57,0.001,10.823,0.001,2.464,0.001,5.26
0,28,105,0.011,11.684,0.037,5.614,0.056,7.132,0.004,3.145
0,28,112,0.001,2.023,0.001,12.76,0.001,8.57,0.001,6.312
0,28,119,0.111,5.84,0.018,15.026,0.062,8.575,0.001,10.99
0,28,126,0.087,11.795,0.068,11.125,0.063,0.833,0.019,2.398
0,28,133,0.001,4.954,0.066,9.442,0.024,1.325,0.065,2.778
0,28,140,0.082,2.447,0.054,7.255,0.066,0.827,0.061,2.487
0,28,147,0.091,14.28,0.061,7.911,0.001,3.64,0.001,8.158
0,28,154,0.002,2.251,0.028,0.661,0.001,10.106,0.001,4.237
0,28,161,0.169,1.25,0.067,0.487,0.034,9.023,0.003,1.441
0,28,168,0.001,13.493,0.013,7.598,0.001,3.959,0.0,1.079
0,28,175,0.081,6.456,0.002,3.839,0.062,10.04,0.0,5.189
0,35,0,0.054,1.666,0.001,8.078,0.001,1.041,0.001,8.292
0,35,7,0.057,7.355,0.001,4.142,0.069,1.668,0.096,11.578
0,35,14,0.003,5.382,0.003,6.709,0.075,8.956,0.051,0.684
0,35,21,0.068,7.546,0.252,8.853,0.058,1.046,0.038,10.737
0,35,28,0.146,5.991,0.001,0.488,0.021,1.022,0.017,16.079
0,35,35,0.0,3.772,0.139,7.987,0.038,7.586,0.072,0.369
0,35,42,0.001,0.749,0.011,1.137,0.002,9.045,0.009,5.252
0,35,49,0.004,2.594,0.001,2.112,0.001,0.918,0.029,4.538
0,35,56,0.002,2.454,0.027,4.529,0.06,4.238,0.028,8.504
0,35,63,0.104,17.082,0.015,8.755,0.003,7.489,0.001,2.723
0,35,70,0.032,7.045,0.001,1.15,0.001,1.986,0.068,0.326
0,35,77,0.188,9.647,0.069,7.781,0.024,9.184,0.001,7.475
0,35,84,0.038,10.998,0.077,10.584,0.001,0.767,0.0,5.74
0,35,91,0.075,4.054,0.136,2.364,0.03,3.858,0.002,3.607
0,35,98,0.033,13.309,0.001,1.675,0.001,4.895,0.001,7.724
0,35,105,0.001,7.058,0.001,10.899,0.01,7.588,0.056,5.78
0,35,112,0.0,0.278,0.001,2.519,0.022,4.418,0.001,10.878
0,35,119,0.067,6.659,0.021,1.394,0.05,10.106,0.017,9.572
0,35,126,0.027,9.088,0.092,7.571,0.015,8.353,0.003,9.41
0,35,133,0.061,2.003,0.04,10.661,0.038,0.431,0.003,0.582
0,35,140,0.001,4.812,0.014,13.212,0.013,2.089,0.001,7.454
0,35,147,0.0,9.472,0.079,12.679,0.018,2.648,0.001,11.36
0,35,154,0.004,8.598,0.001,4.455,0.058,13.934,0.054,6.859
0,35,161,0.002,8.788,0.015,1.122,0.016,1.964,0.03,1.222
0,35,168,0.004,2.569,0.016,9.335,0.082,1.863,0.066,0.737
0,35,175,0.085,5.203,0.059,1.152,0.0,4.385,0.01,10.796
0,42,0,0.002,2.509,0.0,4.434,0.001,1.578,0.003,0.441
0,42,7,0.001,2.083,0.064,2.487,0.065,6.915,0.0,1.462
0,42,14,0.064,8.549,0.001,7.364,0.013,2.336,0.003,5.103
0,42,21,0.032,9.436,0.104,6.983,0.005,3.055,0.001,9.097
0,42,28,0.037,12.629,0.007,8.652,0.026,0.435,0.01,3.455
0,42,35,0.052,7.977,0.021,2.596,0.0,6.64,0.018,6.019
0,42,42,0.031,11.406,0.027,2.625,0.012,4.867,0.012,2.985
0,42,49,0.042,3.106,0.106,0.871,0.006,1.538,0.013,4.426
0,42,56,0.007,4.206,0.009,12.017,0.022,7.114,0.0,3.683
0,42,63,0.036,1.892,0.001,6.952,0.046,1.371,0.0,2.151
0,42,70,0.057,0.87,0.051,0.19,0.051,4.046,0.017,5.152
0,42,77,0.041,5.543,0.04,10.68,0.003,0.98,0.014,2.748
0,42,84,0.0,14.675,0.001,4.116,0.001,1.285,0.001,3.351
0,42,91,0.0,3.467,0.027,3.159,0.001,2.364,0.007,1.041
0,42,98,0.079,8.462,0.0,3.925,0.024,1.411,0.01,12.036
0,42,105,0.008,0.284,0.01,1.976,0.015,0.518,0.003,9.748
0,42,112,0.001,10.553,0.001,4.67,0.011,1.967,0.002,10.369
0,42,119,0.024,2.138,0.003,1.266,0.04,9.75,0.023,5.807
0,42,126,0.0,9.431,0.0,1.284,0.001,2.383,0.048,1.597
0,42,133,0.072,2.163,0.019,8.924,0.0,4.268,0.001,8.411
0,42,140,0.04,5.424,0.071,8.748,0.029,1.711,0.0,4.684
0,42,147,0.018,12.168,0.014,5.868,0.017,4.163,0.011,10.808
0,42,154,0.069,0.432,0.001,6.61,0.017,7.1,0.001,3.52
0,42,161,0.032,9.869,0.047,8.28,0.001,7.139,0.004,2.736
0,42,168,0.0,1.887,0.048,6.635,0.001,1.997,0.038,7.563
0,42,175,0.001,1.978,0.028,7.906,0.051,4.494,0.008,2.357
0,49,0,0.003,3.548,0.001,7.838,0.001,1.709,0.0,10.512
0,49,7,0.1,8.782,0.036,7.296,0.001,5.056,0.017,7.97
0,49,14,0.002,9.526,0.05,12.955,0.021,1.028,0.011,6.392
0,49,21,0.168,1.081,0.158,12.087,0.025,1.599,0.012,5.037
0,49,28,0.0,7.688,0.108,4.4,0.069,7.338,0.032,9.673
0,49,35,0.074,10.849,0.279,1.115,0.0,3.286,0.053,7.073
0,49,42,0.008,10.455,0.003,0.141,0.018,4.885,0.022,0.848
0,49,49,0.051,13.067,0.003,5.495,0.001,1.538,0.002,8.068
0,49,56,0.146,1.886,0.001,0.701,0.023,1.382,0.062,1.084
0,49,63,0.099,7.778,0.003,1.95,0.048,7.699,0.008,5.55
0,49,70,0.099,1.772,0.001,6.139,0.001,7.332,0.014,8.959
0,49,77,0.001,3.177,0.001,1.432,0.098,4.643,0.006,8.362
0,49,84,0.0,6.103,0.002,4.962,0.048,0.471,0.021,6.785
0,49,91,0.004,1.27,0.001,8.344,0.01,3.207,0.029,7.332
0,49,98,0.149,2.023,0.061,12.115,0.0,3.446,0.001,6.597
0,49,105,0.029,2.277,0.144,1.219,0.011,8.15,0.033,5.491
0,49,112,0.001,1.088,0.001,0.706,0.005,2.145,0.001,3.552
0,49,119,0.026,1.517,0.002,12.535,0.007,1.463,0.048,3.663
0,49,126,0.002,12.656,0.058,4.649,0.029,2.503,0.029,10.134
0,49,133,0.001,0.819,0.045,7.749,0.006,0.772,0.027,6.996
0,49,140,0.087,9.798,0.003,5.164,0.001,1.313,0.0,3.335
0,49,147,0.005,0.854,0.008,6.788,0.019,1.932,0.001,1.367
0,49,154,0.002,3.563,0.008,6.021,0.005,1.075,0.001,7.779
0,49,161,0.098,0.455,0.045,5.707,0.002,9.257,0.041,0.766
0,49,168,0.003,2.777,0.069,0.802,0.032,4.879,0.0,8.452
0,49,175,0.048,4.75,0.076,2.155,0.079,4.691,0.012,4.535
0,56,0,0.002,7.624,0.002,5.746,0.004,7.738,0.001,1.419
0,56,7,0.067,4.714,0.117,3.3,0.05,7.752,0.001,4.955
0,56,14,0.003,5.394,0.101,5.908,0.002,4.212,0.015,6.805
0,56,21,0.112,4.807,0.001,3.006,0.024,1.878,0.032,3.978
0,56,28,0.039,2.637,0.002,7.318,0.001,1.523,0.002,7.562
0,56,35,0.001,2.857,0.011,3.27,0.007,8.501,0.024,5.011
0,56,42,0.126,2.671,0.103,10.606,0.001,1.554,0.001,3.622
0,56,49,0.001,3.14,0.001,7.275,0.012,6.87,0.01,4.717
0,56,56,0.001,1.451,0.077,4.668,0.049,4.977,0.012,1.296
0,56,63,0.002,1.988,0.0,1.321,0.001,0.931,0.001,8.313
0,56,70,0.001,7.272,0.001,4.001,0.0,8.743,0.001,3.394
0,56,77,0.001,5.076,0.001,8.203,0.002,6.65,0.001,0.373
0,56,84,0.001,1.719,0.001,11.912,0.065,11.628,0.017,6.517
0,56,91,0.003,2.614,0.002,9.201,0.066,8.793,0.001,1.516
0,56,98,0.027,13.111,0.001,10.842,0.092,8.634,0.001,0.74
0,56,105,0.135,1.163,0.045,8.596,0.018,9.682,0.001,0.395
0,56,112,0.093,7.069,0.106,2.847,0.001,1.484,0.027,3.03
0,56,119,0.159,3.556,0.003,4.149,0.001,8.296,0.002,4.499
0,56,126,0.111,10.993,0.001,9.303,0.031,0.496,0.029,9.368
0,56,133,0.125,2.853,0.002,3.869,0.025,8.821,0.035,3.209
0,56,140,0.001,5.291,0.001,0.958,0.004,0.176,0.019,0.385
0,56,147,0.004,6.612,0.052,8.931,0.054,2.195,0.004,1.234
0,56,154,0.001,1.793,0.001,1.735,0.001,3.454,0.002,2.287
0,56,161,0.003,4.908,0.002,7.208,0.014,5.216,0.0,3.257
0,56,168,0.026,11.046,0.02,6.001,0.001,4.036,0.023,0.456
0,56,175,0.18,13.32,0.078,2.02,0.002,1.563,0.056,7.262
