Euler1,Euler2,Euler3,4samples,8samples,16samples,24samples
7,77,42,88.472,0.007,0.001,0.001
7,77,49,1.532,0.006,0.003,0.001
7,77,56,6.594,0.004,0.002,0.001
7,77,63,14.381,0.004,0.001,0.002
7,77,70,6.38,0.005,0.002,0.001
7,77,77,3.026,0.002,0.003,0.002
7,77,84,8.466,0.008,0.002,0.001
7,77,91,3.037,0.003,0.002,0.002
7,77,98,8.629,0.002,0.003,0.001
7,77,105,2.126,0.009,0.003,0.001
7,77,112,13.223,0.001,0.001,0.002
7,77,119,6.042,0.002,0.001,0.001
7,77,126,0.197,0.006,0.001,0.002
7,77,133,7.881,0.004,0.002,0.001
7,77,140,13.981,0.008,0.002,0.001
7,77,147,7.451,0.008,0.002,0.001
7,77,154,7.561,0.005,0.001,0.0
7,77,161,7.896,0.005,0.002,0.001
7,77,168,3.182,0.01,0.003,0.002
7,77,175,8.712,0.011,0.002,0.001
7,84,0,12.365,0.036,0.002,0.002
7,84,7,6.9,0.016,0.022,0.001
7,84,14,0.753,0.008,0.006,0.002
7,84,21,6.13,0.043,0.003,0.01
7,84,28,4.215,0.026,0.003,0.001
7,84,35,2.474,0.008,0.005,0.005
7,84,42,2.645,0.006,0.005,0.004
7,84,49,2.341,0.015,0.004,0.001
7,84,56,4.176,0.006,0.002,0.002
7,84,63,6.296,0.008,0.0,0.006
7,84,70,2.213,0.015,0.002,0.003
7,84,77,6.769,0.03,0.007,0.006
7,84,84,6.444,0.011,0.013,0.002
7,84,91,14.791,0.009,0.001,0.001
7,84,98,1.392,0.031,0.016,0.006
7,84,105,5.969,0.028,0.025,0.001
7,84,112,4.332,0.014,0.004,0.001
7,84,119,9.538,0.01,0.003,0.002
7,84,126,1.809,0.031,0.01,0.006
7,84,133,88.178,0.008,0.005,0.001
7,84,140,4.836,0.052,0.003,0.003
7,84,147,9.508,0.009,0.024,0.005
7,84,154,5.093,0.013,0.003,0.001
7,84,161,9.692,0.017,0.002,0.002
7,84,168,6.401,0.019,0.019,0.01
7,84,175,11.029,0.095,0.001,0.005
14,0,0,0.0,0.0,0.0,0.0
14,0,7,0.001,0.0,0.0,0.245
14,0,14,0.0,0.202,0.248,0.253
14,0,21,0.0,0.366,0.0,0.0
14,0,28,0.0,0.0,0.0,0.0
14,0,35,0.987,0.0,0.0,0.242
14,0,42,1.693,0.0,0.0,0.274
14,0,49,0.0,0.418,0.125,0.264
14,0,56,0.679,0.0,0.0,0.212
14,0,63,20.607,0.0,0.0,0.273
14,0,70,0.006,0.0,0.0,0.273
14,0,77,0.266,0.164,0.274,0.248
14,0,84,0.79,0.0,0.0,0.236
14,0,91,2.531,0.0,0.263,0.0
14,0,98,1.98,0.0,0.339,0.0
14,0,105,0.0,0.0,0.279,0.243
14,0,112,2.162,0.0,0.0,0.272
14,0,119,0.0,0.0,0.0,0.283
14,0,126,0.0,0.0,0.0,0.218
14,0,133,0.0,0.0,0.392,0.0
14,0,140,2.703,0.0,0.285,0.213
14,0,147,12.869,0.0,0.0,0.25
14,0,154,2.007,0.0,0.287,0.275
14,0,161,3.162,0.0,0.291,0.22
14,0,168,5.164,0.0,0.0,0.251
14,0,175,0.0,0.0,0.0,0.0
14,7,0,0.822,0.045,0.011,0.004
14,7,7,0.774,1.442,0.614,0.419
14,7,14,24.159,0.04,1.091,0.003
14,7,21,0.735,0.011,0.011,0.229
14,7,28,1.704,0.095,0.017,0.01
14,7,35,1.192,0.007,0.018,0.159
14,7,42,1.678,0.288,0.019,0.004
14,7,49,12.349,0.001,0.038,0.002
14,7,56,0.529,0.212,0.044,0.003
14,7,63,21.514,0.064,1.349,0.003
14,7,70,1.381,0.047,0.128,1.076
14,7,77,1.911,0.078,0.01,0.014
14,7,84,2.977,0.041,0.003,0.002
14,7,91,0.825,1.271,0.004,0.003
14,7,98,10.234,0.141,0.003,0.003
14,7,105,1.708,0.033,0.004,0.003
14,7,112,0.516,0.014,0.027,0.015
14,7,119,33.832,0.085,0.266,0.002
14,7,126,29.623,0.129,0.006,0.042
14,7,133,19.733,0.049,0.002,0.007
14,7,140,1.696,0.063,0.004,0.003
14,7,147,14.776,0.836,0.208,0.017
14,7,154,2.629,0.016,0.902,0.004
14,7,161,0.498,0.983,0.005,0.009
14,7,168,1.891,1.456,0.026,0.002
14,7,175,0.675,0.078,0.003,0.006
14,14,0,0.989,0.003,0.001,0.001
14,14,7,2.768,0.014,0.002,0.043
14,14,14,1.507,0.451,0.002,0.001
14,14,21,3.423,0.061,0.01,0.016
14,14,28,17.731,0.035,0.004,0.001
14,14,35,1.477,0.02,0.011,0.015
14,14,42,1.497,0.005,0.004,0.002
14,14,49,55.783,0.006,0.001,0.001
14,14,56,1.702,0.044,0.001,0.006
14,14,63,5.176,0.049,0.001,0.002
14,14,70,2.472,0.023,0.02,0.021
14,14,77,4.0,0.004,0.005,0.001
14,14,84,5.128,0.229,0.0,0.016
14,14,91,3.124,0.024,0.003,0.002
14,14,98,2.5,0.028,0.002,0.015
14,14,105,0.265,0.014,0.001,0.001
14,14,112,2.303,0.006,0.046,0.018
14,14,119,61.381,0.004,0.002,0.001
14,14,126,10.432,0.025,0.016,0.017
14,14,133,1.136,0.028,0.001,0.001
14,14,140,37.632,0.179,0.001,0.012
14,14,147,0.668,0.013,0.001,0.001
14,14,154,5.134,2.118,0.019,0.001
14,14,161,3.357,0.608,0.001,0.001
14,14,168,0.802,0.061,0.002,0.001
14,14,175,3.484,0.317,0.001,0.025
14,21,0,4.384,0.0,0.0,0.001
14,21,7,3.622,0.341,0.002,0.012
14,21,14,2.994,0.005,0.003,0.001
14,21,21,17.752,0.012,0.004,0.025
14,21,28,0.852,0.009,0.001,0.001
14,21,35,1.591,0.003,0.001,0.01
14,21,42,49.564,0.02,0.011,0.005
14,21,49,16.275,0.009,0.001,0.001
14,21,56,4.931,0.004,0.001,0.001
14,21,63,4.958,0.029,0.021,0.021
14,21,70,1.687,0.004,0.002,0.025
14,21,77,1.012,0.002,0.001,0.002
14,21,84,1.187,0.011,0.029,0.027
14,21,91,5.486,0.019,0.011,0.008
14,21,98,1.736,0.023,0.012,0.006
14,21,105,1.205,0.012,0.018,0.001
14,21,112,9.416,0.001,0.01,0.008
14,21,119,4.944,0.001,0.001,0.001
14,21,126,21.129,0.008,0.001,0.022
14,21,133,44.226,0.012,0.002,0.0
14,21,140,16.81,0.036,0.005,0.019
14,21,147,7.154,0.006,0.002,0.001
14,21,154,0.416,0.02,0.021,0.007
14,21,161,5.124,0.001,0.002,0.001
14,21,168,6.139,0.007,0.001,0.021
14,21,175,1.136,0.016,0.006,0.006
14,28,0,1.433,0.001,0.002,0.004
14,28,7,2.098,0.037,0.009,0.015
14,28,14,1.118,0.039,0.013,0.008
14,28,21,27.501,0.023,0.005,0.007
14,28,28,5.404,0.002,0.004,0.003
14,28,35,6.068,0.009,0.003,0.004
14,28,42,25.852,0.001,0.006,0.005
14,28,49,6.464,0.023,0.001,0.001
14,28,56,6.691,0.023,0.003,0.016
14,28,63,3.86,0.007,0.001,0.001
14,28,70,3.053,0.006,0.005,0.011
14,28,77,1.591,0.003,0.004,0.001
14,28,84,0.626,0.009,0.016,0.004
14,28,91,4.963,0.014,0.002,0.013
14,28,98,3.48,0.022,0.017,0.018
14,28,105,3.39,0.014,0.016,0.004
14,28,112,1.253,0.004,0.002,0.005
14,28,119,6.796,0.005,0.0,0.021
14,28,126,3.615,0.009,0.009,0.006
14,28,133,2.133,0.016,0.003,0.001
14,28,140,6.742,0.019,0.001,0.006
14,28,147,2.285,0.024,0.017,0.007
14,28,154,0.688,0.012,0.008,0.002
14,28,161,2.029,0.006,0.012,0.015
14,28,168,6.459,0.003,0.009,0.002
14,28,175,0.069,0.019,0.014,0.013
14,35,0,8.716,0.0,0.001,0.001
14,35,7,5.245,0.009,0.004,0.008
14,35,14,2.041,0.013,0.011,0.011
14,35,21,8.256,0.005,0.013,0.003
14,35,28,4.331,0.002,0.002,0.009
14,35,35,5.527,0.014,0.007,0.006
14,35,42,17.435,0.015,0.016,0.005
14,35,49,0.373,0.001,0.001,0.004
14,35,56,13.545,0.005,0.001,0.001
14,35,63,2.12,0.002,0.006,0.004
14,35,70,0.167,0.006,0.012,0.012
14,35,77,0.745,0.006,0.012,0.002
14,35,84,5.437,0.002,0.011,0.009
14,35,91,1.384,0.008,0.004,0.009
14,35,98,3.26,0.011,0.004,0.001
14,35,105,4.935,0.002,0.005,0.001
14,35,112,43.572,0.008,0.011,0.01
14,35,119,4.091,0.01,0.005,0.012
14,35,126,8.08,0.009,0.01,0.004
14,35,133,6.685,0.003,0.003,0.008
14,35,140,26.155,0.013,0.007,0.007
14,35,147,2.388,0.002,0.001,0.003
14,35,154,0.806,0.011,0.01,0.002
14,35,161,2.14,0.003,0.002,0.001
14,35,168,1.001,0.008,0.001,0.003
14,35,175,5.549,0.015,0.01,0.012
14,42,0,2.596,0.002,0.001,0.002
14,42,7,1.226,0.014,0.01,0.01
14,42,14,0.356,0.019,0.008,0.001
14,42,21,2.928,0.002,0.011,0.006
14,42,28,4.983,0.005,0.004,0.005
14,42,35,9.946,0.007,0.002,0.003
14,42,42,5.524,0.008,0.008,0.006
14,42,49,9.19,0.008,0.006,0.007
14,42,56,1.78,0.011,0.006,0.009
14,42,63,2.368,0.005,0.008,0.001
14,42,70,0.657,0.005,0.005,0.008
14,42,77,1.213,0.002,0.003,0.001
14,42,84,2.259,0.014,0.009,0.01
14,42,91,4.798,0.011,0.008,0.001
14,42,98,8.493,0.013,0.011,0.011
14,42,105,4.418,0.004,0.01,0.001
14,42,112,7.642,0.003,0.008,0.009
14,42,119,16.782,0.004,0.001,0.001
14,42,126,1.721,0.007,0.004,0.007
14,42,133,3.257,0.01,0.003,0.006
14,42,140,4.336,0.008,0.004,0.003
14,42,147,4.204,0.007,0.005,0.007
14,42,154,6.628,0.003,0.011,0.007
14,42,161,1.433,0.001,0.001,0.009
14,42,168,6.788,0.004,0.005,0.0
14,42,175,1.316,0.015,0.014,0.009
14,49,0,2.42,0.006,0.0,0.007
14,49,7,3.235,0.011,0.005,0.004
14,49,14,9.777,0.006,0.009,0.007
14,49,21,1.472,0.015,0.007,0.007
14,49,28,3.201,0.004,0.001,0.006
14,49,35,0.75,0.005,0.005,0.004
14,49,42,5.213,0.01,0.008,0.002
14,49,49,1.084,0.009,0.003,0.005
14,49,56,4.032,0.003,0.002,0.002
14,49,63,3.693,0.003,0.006,0.003
14,49,70,0.591,0.006,0.006,0.001
14,49,77,3.589,0.003,0.003,0.006
14,49,84,3.253,0.011,0.008,0.007
14,49,91,3.144,0.009,0.006,0.005
14,49,98,33.198,0.011,0.004,0.004
14,49,105,5.061,0.005,0.008,0.006
14,49,112,11.638,0.005,0.002,0.004
14,49,119,0.205,0.004,0.005,0.005
14,49,126,11.3,0.009,0.008,0.005
14,49,133,0.678,0.005,0.006,0.005
14,49,140,6.105,0.005,0.001,0.004
14,49,147,3.794,0.002,0.003,0.001
14,49,154,0.791,0.001,0.008,0.001
14,49,161,7.122,0.003,0.003,0.002
14,49,168,5.432,0.004,0.003,0.002
14,49,175,1.546,0.01,0.007,0.001
14,56,0,10.718,0.001,0.001,0.003
14,56,7,0.099,0.009,0.002,0.007
14,56,14,7.896,0.002,0.006,0.004
14,56,21,0.293,0.003,0.004,0.003
14,56,28,6.302,0.003,0.003,0.004
14,56,35,11.805,0.006,0.006,0.005
14,56,42,6.984,0.007,0.002,0.003
14,56,49,0.711,0.004,0.002,0.002
14,56,56,1.594,0.004,0.002,0.005
14,56,63,2.355,0.002,0.004,0.003
14,56,70,2.611,0.003,0.004,0.005
14,56,77,7.102,0.003,0.003,0.003
14,56,84,0.944,0.005,0.006,0.005
14,56,91,1.802,0.01,0.005,0.002
14,56,98,6.732,0.003,0.002,0.004
14,56,105,5.133,0.002,0.005,0.003
14,56,112,8.387,0.002,0.002,0.004
14,56,119,3.997,0.003,0.003,0.004
14,56,126,6.716,0.008,0.005,0.004
14,56,133,2.457,0.009,0.007,0.004
14,56,140,4.423,0.006,0.003,0.006
14,56,147,1.195,0.005,0.004,0.004
14,56,154,0.966,0.004,0.002,0.001
14,56,161,11.593,0.003,0.004,0.005
14,56,168,4.125,0.005,0.003,0.003
14,56,175,4.598,0.003,0.006,0.005
14,63,0,0.05,0.003,0.002,0.002
14,63,7,2.537,0.006,0.003,0.004
14,63,14,7.369,0.006,0.005,0.004
14,63,21,60.062,0.002,0.001,0.005
14,63,28,0.374,0.002,0.002,0.003
14,63,35,14.341,0.005,0.003,0.003
14,63,42,81.122,0.004,0.002,0.002
14,63,49,13.281,0.003,0.004,0.004
14,63,56,5.072,0.001,0.001,0.003
14,63,63,2.828,0.001,0.002,0.004
14,63,70,0.46,0.003,0.001,0.004
14,63,77,6.331,0.003,0.004,0.004
14,63,84,0.734,0.004,0.003,0.003
14,63,91,14.244,0.004,0.002,0.002
14,63,98,0.278,0.002,0.002,0.001
14,63,105,10.276,0.001,0.003,0.002
14,63,112,8.904,0.004,0.004,0.004
14,63,119,10.197,0.001,0.001,0.004
14,63,126,1.497,0.005,0.005,0.006
14,63,133,4.108,0.008,0.004,0.003
14,63,140,0.724,0.004,0.002,0.003
14,63,147,20.144,0.004,0.005,0.002
14,63,154,5.135,0.003,0.008,0.004
14,63,161,0.484,0.004,0.003,0.003
14,63,168,2.45,0.006,0.003,0.004
14,63,175,4.926,0.01,0.005,0.004
14,70,0,2.328,0.007,0.001,0.002
14,70,7,2.997,0.007,0.003,0.004
14,70,14,16.924,0.006,0.004,0.004
14,70,21,4.582,0.002,0.006,0.004
14,70,28,16.225,0.004,0.002,0.003
14,70,35,3.018,0.004,0.004,0.004
14,70,42,22.137,0.004,0.001,0.002
14,70,49,0.429,0.007,0.003,0.004
14,70,56,1.786,0.003,0.003,0.001
14,70,63,5.291,0.005,0.004,0.003
14,70,70,1.761,0.002,0.002,0.001
14,70,77,1.884,0.003,0.003,0.003
14,70,84,1.544,0.004,0.002,0.002
14,70,91,1.412,0.006,0.003,0.003
14,70,98,17.433,0.007,0.002,0.003
14,70,105,7.37,0.004,0.004,0.002
14,70,112,14.506,0.003,0.004,0.004
14,70,119,74.817,0.003,0.003,0.003
14,70,126,1.075,0.005,0.004,0.003
14,70,133,3.611,0.004,0.002,0.002
14,70,140,2.721,0.005,0.002,0.004
14,70,147,2.671,0.005,0.003,0.002
14,70,154,3.633,0.003,0.005,0.004
14,70,161,9.73,0.001,0.002,0.002
14,70,168,1.034,0.004,0.003,0.003
14,70,175,5.716,0.001,0.001,0.001
14,77,0,17.872,0.003,0.002,0.003
14,77,7,13.297,0.009,0.002,0.002
14,77,14,6.16,0.008,0.005,0.002
14,77,21,1.201,0.006,0.003,0.002
14,77,28,4.052,0.005,0.003,0.002
14,77,35,14.141,0.006,0.004,0.001
14,77,42,5.086,0.003,0.002,0.002
14,77,49,3.618,0.005,0.002,0.002
14,77,56,0.383,0.007,0.003,0.001
14,77,63,18.68,0.006,0.002,0.003
14,77,70,7.463,0.005,0.002,0.002
14,77,77,1.916,0.002,0.002,0.003
14,77,84,15.474,0.008,0.001,0.002
14,77,91,11.409,0.002,0.002,0.002
14,77,98,11.987,0.006,0.003,0.001
14,77,105,7.153,0.003,0.002,0.003
14,77,112,4.946,0.001,0.002,0.002
14,77,119,5.13,0.004,0.002,0.002
14,77,126,2.334,0.003,0.002,0.003
14,77,133,14.118,0.014,0.002,0.002
14,77,140,4.846,0.002,0.003,0.001
14,77,147,12.57,0.006,0.002,0.001
14,77,154,8.62,0.004,0.002,0.002
14,77,161,7.863,0.004,0.002,0.002
14,77,168,12.461,0.002,0.003,0.002
14,77,175,5.157,0.005,0.002,0.002
14,84,0,10.651,0.02,0.005,0.006
14,84,7,6.095,0.007,0.007,0.002
14,84,14,6.0,0.015,0.006,0.003
14,84,21,44.759,0.017,0.012,0.001
14,84,28,0.676,0.016,0.004,0.006
14,84,35,2.314,0.005,0.004,0.004
14,84,42,6.112,0.007,0.004,0.004
14,84,49,0.837,0.004,0.009,0.001
14,84,56,62.209,0.003,0.008,0.001
14,84,63,2.337,0.009,0.002,0.012
14,84,70,6.509,0.012,0.01,0.003
14,84,77,7.973,0.015,0.014,0.002
14,84,84,20.181,0.003,0.014,0.002
14,84,91,27.941,0.003,0.002,0.002
14,84,98,2.151,0.027,0.012,0.003
14,84,105,18.108,0.007,0.013,0.006
14,84,112,16.129,0.012,0.005,0.002
14,84,119,3.23,0.004,0.004,0.002
14,84,126,6.514,0.012,0.01,0.001
14,84,133,21.691,0.023,0.006,0.006
14,84,140,6.474,0.044,0.002,0.003
14,84,147,1.859,0.023,0.006,0.004
14,84,154,1.111,0.003,0.004,0.001
14,84,161,6.931,0.023,0.003,0.001
14,84,168,14.445,0.009,0.012,0.01
14,84,175,17.464,0.005,0.001,0.005
21,0,0,0.0,0.0,0.251,0.0
21,0,7,0.0,0.0,0.284,0.224
21,0,14,0.0,0.292,0.31,0.0
21,0,21,1.392,0.301,0.0,0.0
21,0,28,1.678,0.0,0.0,0.238
21,0,35,0.001,0.28,0.191,0.0
21,0,42,0.0,0.0,0.0,0.227
21,0,49,2.786,0.452,0.339,0.304
21,0,56,0.0,0.0,0.255,0.0
21,0,63,2.008,0.0,0.0,0.202
21,0,70,1.275,0.0,0.323,0.0
21,0,77,0.005,0.0,0.25,0.0
21,0,84,0.001,0.0,0.266,0.249
21,0,91,33.273,0.0,0.247,0.269
21,0,98,12.085,0.0,0.0,0.0
21,0,105,2.034,0.0,0.0,0.252
21,0,112,1.824,0.174,0.28,0.263
21,0,119,0.946,0.449,0.0,0.0
21,0,126,37.678,0.291,0.281,0.222
21,0,133,14.416,0.152,0.0,0.26
21,0,140,1.75,0.365,0.292,0.248
21,0,147,0.001,0.0,0.325,0.262
21,0,154,0.765,0.0,0.28,0.241
21,0,161,0.626,0.0,0.291,0.264
21,0,168,0.0,0.0,0.136,0.266
21,0,175,0.0,0.0,0.0,0.252
21,7,0,0.422,0.004,0.106,0.004
21,7,7,1.823,0.188,0.007,0.006
21,7,14,13.138,0.478,0.009,0.05
21,7,21,1.95,0.622,0.195,0.012
21,7,28,20.27,0.408,0.027,0.018
21,7,35,1.3,0.763,0.053,0.004
21,7,42,19.168,0.15,0.007,0.002
21,7,49,10.013,0.051,0.005,0.002
21,7,56,1.984,0.054,0.037,0.003
21,7,63,2.405,0.019,0.514,0.002
21,7,70,3.002,0.099,0.02,0.584
21,7,77,0.722,0.216,0.001,0.002
21,7,84,2.023,0.395,0.707,0.002
21,7,91,1.636,0.091,0.004,0.002
21,7,98,0.217,0.265,0.013,0.002
21,7,105,18.761,2.505,0.084,0.002
21,7,112,50.684,0.091,0.001,0.012
21,7,119,2.606,0.811,0.004,0.002
21,7,126,18.016,0.287,0.01,0.009
21,7,133,2.319,0.319,0.002,0.001
21,7,140,28.951,0.038,0.075,0.001
21,7,147,16.641,0.04,0.409,0.007
21,7,154,7.503,0.087,0.246,0.004
21,7,161,3.207,0.012,0.004,0.01
21,7,168,1.662,0.045,0.032,0.002
21,7,175,1.41,0.235,0.005,0.003
21,14,0,0.192,0.002,0.001,0.001
21,14,7,3.228,0.017,0.001,0.001
21,14,14,4.699,0.012,0.005,0.001
21,14,21,62.235,0.024,0.002,0.001
21,14,28,3.236,0.006,0.006,0.001
21,14,35,3.398,0.04,0.015,0.001
21,14,42,4.989,0.017,0.003,0.004
21,14,49,5.18,0.026,0.001,0.002
21,14,56,5.044,0.011,0.007,0.007
21,14,63,2.509,0.011,0.005,0.001
21,14,70,2.292,0.01,0.002,0.011
21,14,77,1.321,0.067,0.004,0.001
21,14,84,5.245,1.295,0.001,0.001
21,14,91,3.675,0.046,0.001,0.001
21,14,98,3.96,0.078,0.003,0.003
21,14,105,6.326,0.064,0.001,0.001
21,14,112,2.903,0.015,0.004,0.001
21,14,119,5.22,0.003,0.001,0.001
21,14,126,55.171,0.025,0.007,0.001
21,14,133,2.206,0.049,0.001,0.001
21,14,140,4.95,0.004,0.001,0.001
21,14,147,0.99,0.018,0.009,0.001
21,14,154,5.27,0.003,0.001,0.002
21,14,161,5.896,0.005,0.002,0.007
21,14,168,3.508,0.001,0.001,0.001
21,14,175,1.035,0.016,0.001,0.014
21,21,0,0.08,0.0,0.001,0.0
21,21,7,7.828,0.007,0.001,0.001
21,21,14,1.682,0.013,0.006,0.01
21,21,21,2.518,0.013,0.004,0.002
21,21,28,24.473,0.014,0.006,0.002
21,21,35,4.999,0.031,0.015,0.014
21,21,42,7.78,0.026,0.015,0.015
21,21,49,1.098,0.033,0.001,0.001
21,21,56,5.503,0.002,0.002,0.001
21,21,63,7.752,0.001,0.02,0.001
21,21,70,2.933,0.002,0.001,0.003
21,21,77,0.052,0.003,0.001,0.001
21,21,84,0.89,0.025,0.019,0.014
21,21,91,2.121,0.014,0.006,0.001
21,21,98,0.919,0.006,0.011,0.001
21,21,105,0.146,0.005,0.002,0.0
21,21,112,4.151,0.025,0.004,0.001
21,21,119,34.85,0.005,0.004,0.009
21,21,126,11.814,0.009,0.001,0.003
21,21,133,15.189,0.014,0.001,0.002
21,21,140,36.184,0.024,0.004,0.015
21,21,147,7.101,0.006,0.005,0.013
21,21,154,0.536,0.003,0.001,0.001
21,21,161,9.54,0.01,0.007,0.001
21,21,168,4.877,0.005,0.009,0.001
21,21,175,2.45,0.015,0.002,0.004
21,28,0,0.046,0.001,0.001,0.002
21,28,7,2.153,0.008,0.009,0.012
21,28,14,48.439,0.003,0.005,0.004
21,28,21,6.103,0.009,0.001,0.001
21,28,28,71.654,0.002,0.007,0.002
21,28,35,0.589,0.012,0.005,0.008
21,28,42,2.161,0.001,0.001,0.001
21,28,49,2.262,0.002,0.001,0.004
21,28,56,0.82,0.013,0.01,0.001
21,28,63,0.775,0.006,0.001,0.007
21,28,70,3.066,0.003,0.005,0.004
21,28,77,1.543,0.013,0.006,0.003
21,28,84,1.091,0.016,0.001,0.011
21,28,91,9.504,0.012,0.006,0.004
21,28,98,5.21,0.007,0.009,0.003
21,28,105,46.508,0.004,0.001,0.002
21,28,112,4.784,0.002,0.001,0.011
21,28,119,48.18,0.009,0.005,0.006
21,28,126,1.262,0.005,0.006,0.001
21,28,133,6.913,0.002,0.001,0.001
21,28,140,9.939,0.014,0.007,0.012
21,28,147,1.834,0.007,0.007,0.003
21,28,154,0.401,0.008,0.002,0.002
21,28,161,4.679,0.002,0.001,0.002
21,28,168,1.16,0.024,0.009,0.008
21,28,175,3.166,0.002,0.003,0.004
21,35,0,13.455,0.002,0.001,0.001
21,35,7,7.263,0.009,0.005,0.001
21,35,14,11.206,0.002,0.002,0.005
21,35,21,13.027,0.007,0.002,0.001
21,35,28,21.813,0.008,0.007,0.004
21,35,35,42.868,0.012,0.004,0.006
21,35,42,21.152,0.015,0.004,0.011
21,35,49,1.88,0.003,0.001,0.001
21,35,56,4.971,0.011,0.009,0.002
21,35,63,3.556,0.005,0.004,0.004
21,35,70,5.298,0.005,0.003,0.006
21,35,77,0.69,0.01,0.006,0.007
21,35,84,4.152,0.001,0.0,0.001
21,35,91,0.122,0.016,0.002,0.008
21,35,98,6.865,0.004,0.007,0.004
21,35,105,1.086,0.015,0.001,0.001
21,35,112,5.051,0.002,0.001,0.002
21,35,119,52.7,0.007,0.003,0.005
21,35,126,2.899,0.011,0.001,0.003
21,35,133,0.714,0.006,0.003,0.003
21,35,140,0.478,0.011,0.005,0.007
21,35,147,4.511,0.012,0.001,0.01
21,35,154,1.059,0.006,0.006,0.001
21,35,161,4.621,0.003,0.003,0.001
21,35,168,0.87,0.013,0.001,0.006
21,35,175,5.505,0.012,0.007,0.005
21,42,0,0.573,0.0,0.002,0.005
21,42,7,10.216,0.003,0.003,0.005
21,42,14,6.063,0.006,0.007,0.004
21,42,21,0.05,0.004,0.002,0.007
21,42,28,12.313,0.006,0.004,0.004
21,42,35,1.874,0.008,0.003,0.005
21,42,42,0.872,0.004,0.004,0.002
21,42,49,3.214,0.004,0.002,0.006
21,42,56,1.282,0.005,0.004,0.002
21,42,63,3.651,0.004,0.004,0.005
21,42,70,1.557,0.003,0.003,0.002
21,42,77,5.024,0.007,0.004,0.005
21,42,84,4.286,0.005,0.005,0.001
21,42,91,7.507,0.002,0.001,0.001
21,42,98,4.982,0.004,0.006,0.003
21,42,105,5.997,0.003,0.005,0.005
21,42,112,2.532,0.005,0.004,0.007
21,42,119,7.478,0.005,0.005,0.004
21,42,126,2.058,0.009,0.006,0.007
21,42,133,0.661,0.002,0.004,0.003
21,42,140,5.248,0.009,0.003,0.005
21,42,147,1.146,0.0,0.008,0.001
21,42,154,1.227,0.004,0.003,0.006
21,42,161,0.087,0.002,0.004,0.003
21,42,168,0.648,0.004,0.0,0.003
21,42,175,0.314,0.003,0.001,0.002
21,49,0,0.0,0.004,0.004,0.003
21,49,7,1.091,0.004,0.005,0.005
21,49,14,12.274,0.006,0.003,0.003
21,49,21,17.51,0.003,0.005,0.005
21,49,28,14.969,0.004,0.004,0.004
21,49,35,76.151,0.003,0.002,0.006
21,49,42,3.029,0.005,0.003,0.003
21,49,49,0.101,0.003,0.003,0.005
21,49,56,7.718,0.003,0.003,0.002
21,49,63,1.718,0.003,0.003,0.004
21,49,70,6.784,0.002,0.003,0.004
21,49,77,1.123,0.005,0.004,0.004
21,49,84,0.095,0.01,0.006,0.006
21,49,91,17.469,0.002,0.004,0.005
21,49,98,25.434,0.005,0.004,0.004
21,49,105,6.937,0.003,0.005,0.003
21,49,112,2.791,0.003,0.004,0.005
21,49,119,2.45,0.004,0.003,0.003
21,49,126,0.988,0.009,0.005,0.005
21,49,133,10.691,0.007,0.004,0.004
21,49,140,7.588,0.005,0.005,0.006
21,49,147,1.237,0.004,0.006,0.004
21,49,154,0.32,0.006,0.004,0.005
21,49,161,0.504,0.004,0.003,0.004
21,49,168,2.702,0.002,0.006,0.004
21,49,175,3.333,0.007,0.004,0.004
21,56,0,22.54,0.002,0.003,0.003
21,56,7,2.326,0.002,0.003,0.003
21,56,14,9.905,0.001,0.002,0.002
21,56,21,0.635,0.003,0.003,0.004
21,56,28,5.464,0.005,0.004,0.003
21,56,35,79.819,0.006,0.004,0.003
21,56,42,4.472,0.006,0.005,0.003
21,56,49,6.099,0.003,0.005,0.004
21,56,56,3.614,0.004,0.006,0.003
21,56,63,4.273,0.002,0.004,0.004
21,56,70,0.006,0.004,0.002,0.002
21,56,77,15.958,0.005,0.004,0.004
21,56,84,13.265,0.004,0.002,0.002
21,56,91,3.518,0.005,0.002,0.004
21,56,98,5.208,0.005,0.005,0.003
21,56,105,15.307,0.002,0.003,0.003
21,56,112,0.654,0.004,0.004,0.003
21,56,119,0.835,0.005,0.005,0.005
21,56,126,1.696,0.004,0.004,0.004
21,56,133,8.544,0.003,0.001,0.003
21,56,140,16.539,0.004,0.003,0.003
21,56,147,2.025,0.004,0.003,0.003
21,56,154,6.184,0.003,0.003,0.005
21,56,161,11.247,0.003,0.004,0.003
21,56,168,2.797,0.004,0.006,0.003
21,56,175,4.767,0.005,0.003,0.002
21,63,0,1.027,0.002,0.002,0.002
21,63,7,20.398,0.002,0.003,0.002
21,63,14,8.26,0.004,0.004,0.002
21,63,21,74.658,0.004,0.004,0.002
21,63,28,0.421,0.006,0.004,0.004
21,63,35,1.073,0.007,0.004,0.005
21,63,42,11.24,0.006,0.004,0.004
21,63,49,23.227,0.005,0.003,0.003
21,63,56,2.083,0.003,0.003,0.003
21,63,63,3.447,0.003,0.004,0.002
21,63,70,1.744,0.003,0.003,0.002
21,63,77,0.259,0.004,0.004,0.004
21,63,84,0.349,0.007,0.005,0.004
21,63,91,20.342,0.004,0.002,0.004
21,63,98,11.425,0.003,0.003,0.003
21,63,105,3.014,0.003,0.005,0.002
