Euler1,Euler2,Euler3,azimuth360,azimuth270,azimuth180,azimuth90
0,28,147,0.055,0.088,0.004,0.219
0,28,154,0.001,0.001,0.05,0.0
0,28,161,0.058,0.001,0.08,0.149
0,28,168,0.002,0.0,0.073,0.038
0,28,175,0.051,0.001,0.048,0.0
0,35,0,0.09,0.002,0.035,0.0
0,35,7,0.001,0.023,0.001,0.098
0,35,14,0.001,0.076,0.062,0.008
0,35,21,0.042,0.092,0.047,0.074
0,35,28,0.05,0.038,0.006,0.012
0,35,35,0.001,0.001,0.077,0.017
0,35,42,0.101,0.118,0.02,0.105
0,35,49,0.061,0.032,0.001,0.111
0,35,56,0.045,0.117,0.001,0.061
0,35,63,0.001,0.047,0.001,0.002
0,35,70,0.069,0.005,0.11,0.041
0,35,77,0.003,0.001,0.048,0.005
0,35,84,0.001,0.007,0.045,0.093
0,35,91,0.001,0.023,0.045,0.109
0,35,98,0.033,0.001,0.098,0.001
0,35,105,0.036,0.003,0.003,0.077
0,35,112,0.058,0.001,0.003,0.002
0,35,119,0.003,0.037,0.008,0.115
0,35,126,0.0,0.001,0.051,0.001
0,35,133,0.082,0.092,0.002,0.111
0,35,140,0.001,0.016,0.002,0.052
0,35,147,0.022,0.047,0.051,0.125
0,35,154,0.083,0.0,0.059,0.119
0,35,161,0.08,0.001,0.004,0.001
0,35,168,0.012,0.065,0.064,0.001
0,35,175,0.057,0.001,0.038,0.005
0,42,0,0.0,0.0,0.0,0.006
0,42,7,0.028,0.055,0.004,0.252
0,42,14,0.061,0.003,0.001,0.011
0,42,21,0.09,0.002,0.047,0.007
0,42,28,0.018,0.001,0.059,0.017
0,42,35,0.001,0.003,0.004,0.008
0,42,42,0.224,0.015,0.056,0.019
0,42,49,0.001,0.0,0.0,0.102
0,42,56,0.023,0.001,0.001,0.01
0,42,63,0.004,0.004,0.048,0.007
0,42,70,0.071,0.002,0.001,0.008
0,42,77,0.003,0.085,0.002,0.002
0,42,84,0.001,0.001,0.081,0.005
0,42,91,0.001,0.002,0.001,0.001
0,42,98,0.042,0.003,0.031,0.066
0,42,105,0.01,0.065,0.031,0.002
0,42,112,0.001,0.01,0.079,0.132
0,42,119,0.021,0.002,0.024,0.081
0,42,126,0.001,0.084,0.004,0.215
0,42,133,0.001,0.002,0.01,0.175
0,42,140,0.001,0.001,0.001,0.096
0,42,147,0.0,0.001,0.002,0.088
0,42,154,0.0,0.046,0.037,0.002
0,42,161,0.06,0.002,0.04,0.057
0,42,168,0.0,0.042,0.007,0.099
0,42,175,0.01,0.032,0.019,0.004
0,49,0,0.0,0.001,0.001,0.194
0,49,7,0.048,0.001,0.002,0.004
0,49,14,0.001,0.162,0.002,0.002
0,49,21,0.001,0.053,0.057,0.002
