Euler1,Euler2,Euler3,default10,default15,default20,default25,default30
0,28,119,0.049,0.058,0.002,0.022,0.002
0,28,126,0.076,0.081,0.071,0.064,0.067
0,28,133,0.072,0.092,0.083,0.074,0.001
0,28,140,0.01,0.0,0.076,0.068,0.001
0,28,147,0.124,0.043,0.073,0.005,0.004
0,28,154,0.001,0.07,0.029,0.004,0.059
0,28,161,0.051,0.052,0.001,0.067,0.045
0,28,168,0.022,0.067,0.014,0.058,0.027
0,28,175,0.079,0.089,0.09,0.07,0.067
0,35,0,0.069,0.062,0.09,0.076,0.076
0,35,7,0.085,0.002,0.009,0.002,0.001
0,35,14,0.049,0.0,0.0,0.0,0.042
0,35,21,0.197,0.052,0.114,0.068,0.135
0,35,28,0.509,0.017,0.001,0.235,0.004
0,35,35,0.001,0.042,0.052,0.054,0.001
0,35,42,0.101,0.105,0.055,0.135,0.056
0,35,49,0.084,0.003,0.0,0.041,0.001
0,35,56,0.053,0.004,0.112,0.006,0.018
0,35,63,0.036,0.037,0.001,0.001,0.001
0,35,70,0.06,0.001,0.07,0.001,0.004
0,35,77,0.004,0.023,0.043,0.004,0.003
0,35,84,0.0,0.0,0.0,0.032,0.016
0,35,91,0.047,0.088,0.001,0.002,0.001
0,35,98,0.054,0.003,0.002,0.023,0.002
0,35,105,0.038,0.043,0.031,0.034,0.001
0,35,112,0.001,0.028,0.05,0.001,0.001
0,35,119,0.029,0.015,0.044,0.003,0.002
0,35,126,0.001,0.0,0.0,0.0,0.0
0,35,133,0.001,0.064,0.049,0.086,0.052
0,35,140,0.042,0.035,0.057,0.005,0.034
0,35,147,0.117,0.069,0.053,0.05,0.0
0,35,154,0.094,0.001,0.001,0.058,0.073
0,35,161,0.078,0.001,0.066,0.001,0.09
0,35,168,0.107,0.0,0.024,0.029,0.0
0,35,175,0.122,0.045,0.018,0.012,0.049
0,42,0,0.064,0.0,0.0,0.106,0.0
0,42,7,0.294,0.006,0.4,0.011,0.027
0,42,14,0.043,0.001,0.001,0.0,0.034
0,42,21,0.029,0.077,0.258,0.001,0.117
0,42,28,0.015,0.049,0.0,0.001,0.0
0,42,35,0.066,0.054,0.001,0.001,0.018
0,42,42,0.007,0.001,0.022,0.06,0.001
0,42,49,0.049,0.08,0.056,0.085,0.003
0,42,56,0.036,0.036,0.042,0.021,0.04
0,42,63,0.045,0.045,0.026,0.032,0.006
0,42,70,0.095,0.004,0.064,0.0,0.0
0,42,77,0.002,0.003,0.008,0.003,0.003
0,42,84,0.069,0.023,0.001,0.001,0.001
0,42,91,0.066,0.052,0.091,0.091,0.019
0,42,98,0.034,0.004,0.017,0.003,0.001
0,42,105,0.05,0.033,0.017,0.02,0.025
0,42,112,0.056,0.037,0.001,0.036,0.067
0,42,119,0.059,0.048,0.015,0.002,0.008
0,42,126,0.044,0.043,0.001,0.001,0.05
0,42,133,0.001,0.073,0.044,0.053,0.07
0,42,140,0.015,0.0,0.032,0.0,0.0
0,42,147,0.026,0.001,0.01,0.001,0.018
0,42,154,0.0,0.061,0.01,0.0,0.051
0,42,161,0.035,0.091,0.041,0.001,0.049
0,42,168,0.066,0.048,0.001,0.0,0.0
0,42,175,0.0,0.035,0.017,0.035,0.0
